您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
诶你好麻烦你帮我查询一下看看我这张现在是幺三八的那个流量是多少 噢本地是不限量的对国内一个g包括包括那个视频什么都没见谅了噢 
哎你好请问是这样子的我的手机昨天有收到移动的一个短信噢说什么什么星级身份原因 噢没有什么其他的意思还有 
哎能不能帮我看一下这边有流量优惠嘛给我开通流量啊 还可以办一次 
诶您好我想请问一下我们这边有没有什么一种业务是可以说防止别人恶意用我的那个手机号码去注册就在什么乱七八糟的东西这怎么怎么去那个 是啊就是一直不断的呃一起帮我注册然后不算的有收到这种验证码那有没有办法说给我这种先先暂停关闭掉 
行哎你好我想问一下现在三十八块钱的套餐它的免费是三百分钟一百分钟 噢那它我觉得我这个我是原来用的时候它只有一百分钟啊 
喂你好有什么可以帮您你这有什么流量加油包 不要那个太多 
噢那个客现在就是有有没有什么其他的流量套餐 六十块钱然后六g对我用全国接那还有没有其他的 
哎您好帮我查一下有什么上网呃流量套餐吗 呃不用了我已经改了十八元的就是呃有没有其他的这种流量啊 
喂请问一下有什么这个流量都有国内的还有那个省内的 呃在福建省内就可以用了对不对对对呃除了那个省内就不能用了是 
呃你好我想问一下我订的那个八块钱的那个套餐有没有包括来电显示费啊 已经包括了还有那个我想问一下那个我的那个就是九月份的消费的话有一个移动数据套餐费二十元是什么东西啊 
你好我想问一下有什么那个优惠的那个流量套餐 六十元六个g 
喂你好 问一下就是说我们是一直半年到幺八八的套餐了 
喂你好请问一下我这个家校互联是不是那个校讯通啊 我都取消了怎么他他都没取消这个月啊 
诶你好问一下就现在有什么流量包 是全国的吗 
诶你好我问一下我那个五十八块钱五十八块钱套餐里面的流量是多少 哎好嘞好嘞谢谢知道这个取消的就不要用那个还还 
呃您好我问一下现在那个套餐里面有个三十八元套餐说呃升档可可办理什么一一g的跟多少那那个是怎么回事啊 噢就是两个g的省内流量每个月吗 
啊哎你好我想问一下你你们老用户办理的狗屁流量 一百三十八的话是有包括什么之类的 
对哎我刚才查了一下你我那个流量是包多少 我是话费是一百五十八号还有七十元是什么 
啊喂你好你好呃现在有什么有什么套餐啊我现在用的套餐是四十八的套餐里面是只有三百兆流量是吗 噢我知道呃然后现在有什么什么套餐啊 
诶你好我请问一下我这个是专门用流量量的那个卡一天不是一个g的呀 我这个最近怎么怎么天天好像都流量都要超了要超量好像都没有怎么用流量怎么超了会超了游戏啊一个g不是啊 
你好有没有什么流量包是本月本月现在马上要使用的 对对对 
喂你好问一下噢那你你们你们从移动刚给我发那个信息那个幺三九邮箱是什么意思呢 噢 
我想问一下就是那个那个呃一个g是一千二十四兆还是一千兆啊 
诶您好我想问一下我这手机的套餐现在就是说那个流量是多少一个月 是七百兆是吗然后那个通话呢 
喂你好诶我我们流量了怎么办能不能买的流量啊 得比较优惠的什么流量可以没了 
很高兴为您服务诶你好我问一下这个套餐我呃我就是说想办再一点的套餐吗 哎喂诶不是有一个那个八十八的那个那种套餐 
有分为您 哎你好问一下呃移动公司这这边是那种一次性的那个呃就是当一个月的那个呃流量套餐支持 
哦就是我想问一下你现在那个八十八的套餐是这是怎么分钟数多少流量多少啊 噢您好 
喂你好我想咨询一下就是移动套餐里面有个咪咕特级会员它是什么东西啊 噢你说它是赠送的吗 
诶我想帮我另外一个号码查一下我的套餐是什么内容 知道 
你好 我问一下你那个我上次那个办的那个套餐不是说什么九五最低消费九十元那个什么套餐啊那个 
哎你好我想问一下现在有什么那个流量费优惠的 我在不是我我是没有在泉州 
噢我想咨询一下宽带你们这边宽带是什么套餐有没有什么套餐呢 诶那如果安装网的话它一年是多少呢 
诶喂您好呃我想问一下就是我那个五十套餐里面就是有自带一个来电来电提醒啊 噢 
哎 哎我这个这个流量是多少这个套餐啊 
诶你好有什么可以帮您呃就那个套餐我原来套餐这种如果说流量流量多一点分钟数少一点是像类似的还有哪一种套餐 我是那个两g是吧 
你好诶我这个手机卡就是是什么流量卡是吧我这个套餐能换一下吗 就是说变更其他的套餐吗 
哎你好有什麽有什么现在有什么套餐吗就是流量套餐全网全全国通的那种 没有我要的是那种套餐 
呃喂你好我想问一下你们那个八十八的套餐我要去上个月跟我说是送一千两百分钟的话啊呃那个分钟数吗 噢就九百分钟是什么省内的是吗 
喂您好我想问一下刚刚一个什么电信的短信发过来他说他他说那个一个套餐是那个八十八元有一千多分钟的通话费还有一个g的流量是吗 噢噢那那那那那它就是它下个月会帮我直接直接今天没 
哎你好我想请问一下就是你这边有新的套餐就是五八然后三g流量是吗 啊对我要改这个套餐 
嗯三十八问正现在是不是有个那个三十八套餐的现在就办理了我查三百分钟流量啊三百分钟通话一点五g的那个套餐呢 有啊恩对那我这个怎么这么差劲啊 
你好 嗯知道我今天要去香港喂你好呃坐车再两天的时间因为明天晚上就换那有什么套餐可以使用了 
喂你好我想问我想帮我看你看一下有没有什么流量就是我现在想开那个流量再开一点 噢那你帮我开十块钱的那个吧 
肯定地方出来 呃请问流量不够买流量买哪一种的这些多少 
我想问一下这全球通的套餐都有哪哪几种啊 那种是多少 
喂我想问一下那个咨询高清通话那个是什么 噢会不会休息 
哎你好是这样子我想说我现在是三十八块套餐现在还有什么流量比较多分钟数比较多的套餐吗 嗯那个是多少 
喂你好我想问一下我那个流量是要开通什么流量比较划算我每个月用了这么多 那我为什么我这边有下载那种中国那就是有现在那个有流量的为什么我都充不了五十块多少优惠的那个给我什么充不了 
喂您好呃想请问一下这边你们这边有什么流量流量套餐 噢你们流量套餐可以发个短信到我这边来吗我看一下要求呢 
诶喂您好我想问一下你们八十八块的月租套餐是多少g流量 不是有一种套餐我们有一种套餐是无限流量的 
呃您好帮我看一下那个流量套餐都有都有哪些 噢对我现在不是没流量了嗯对 
你好 那个幺零零八六给我发个信息什么季度是包月是什么意思啊 
没错 你好我想问一下你帮我查询一下这个手机里面有一个三千语音三千分钟用是什么东西啊 
噢没女请问一下你现在移动公司有推出说流量我之后好像是几十块几个g的那种流量吗 嗯是当月生效还是 
我我这个套餐要改便宜的有什么套餐 不需要流量我这个在家里 
喂你好能是啊呃请问一下你们这里那个流量包最大是多少之前一个是哪个那个要钱啊 喂 
我想问一下你们 流量我手机流量什么使用完了 
哎你好问一下现在是不是有那个这张卡对吗 月租啊就是月初呃杨 
诶你好我想问一下现在有没有比较优惠的套餐啊就流量比较比较多的那种套餐 基本一个几期就可以了 
就是我这张卡是这个流量套餐还有通话时长就是怎么说的 一个g的省内流量噢那我现在不是我现在不是外省的话有办呢这样子的 
哎你好我想问一下刚才你那个幺零零八六给我一个信息啊他说我什么这边有申请了二零一七什么胸为什么这个 就流量刚才没有发银行给我的那个是什么给我那个呃那个国内流量才一百一百兆啊刚刚看一下那国内一百兆省内流量一千四百多兆 
呃美女你好我问一下那个我这个流诶现在这个月底了我这个流量用的不够我呃那个流量包有十块的是多少兆 噢啊那那那呃那那帮我申请天津二二十块的噢二十块的是多少 
喂你好呃你们现在不是晚上有有两元一g的流量怎么办呐 嗯嗯 
哎你好我想问一下就是你们那个移动是不是有一个幺三八的套餐那个流量是无限流量然后通话分钟数一千二百分钟 那个就是昨天那个给我打电话他说好像是就是如果说我不想用这个套餐的话就是转为以前那个八十八的套餐就转不了是吧 
您好想问一下我现在这个套餐是几g的流量啊 噢这样子啊那我那我呃下个月开始已经是八十八块钱的套餐的这个 
那个二零一七版的那个那个那个什么任我用套餐啊 噢 
噢喂你好 噢我这边我想查一下我这个超级流量王就说不是一天一个什么一块钱的吗 
呃套餐那里面也有都是什么的 呃因为我那有有一个三十的套餐是不是啊 
喂你好 诶我问一下现在还有我流量可以呃就是说比较用的嘞有什么套餐 
喂你好我想问一下幺零零八六现在有一一个套餐三十八元的有有三百分钟啊 噢有是不是啊 
哎我想问一下我这个现在这个九十九套餐是新版的还有什么优惠的那个 三百分钟那还有赠送的吗不知道另外还有赠送几百分钟啊 
诶你好你帮我看下我这个手机号的套餐流量每个月是多少 对是 
喂你好 就是那个你们有流量有什么套餐呢 
那个有那个月底的时代加油包吗 对二十五号 
诶我想问一下我这个号码三十八套餐里面还有没什么其他赠送的什么东西啊 噢就一百分钟本地打国国内还有五百兆流量其他都没有了噢 
现在有那个新套餐是不是 五十八的是是什么样子的 
诶你好我是想问一下不是有一种三十八的送五百兆流量 然后我这这个人在上面这样这样子改吗 
喂你好诶为什么客户反映说诶接到我电话或者他打电话给我他他手机上会收到你们中国移动的什么短信 噢是没人接到我的电话都会有那种短信吗 
诶我想问一下有没有那种包半年的那种一天的那个全国流量套餐 嗯还有其他的 
诶你们是不是有那个什么尊享那个新飞享套餐然后是 三百分钟那个国内拨打电话是吧还是怎么样 
嗯问一下我现在这套套餐是怎样的是三十八块的那个吗 我我知这个飞享套餐能 
呃我想问一下这个套餐有什么套餐呢我想改一下套餐 最低的是怎么样的 
哎你好我想问一下我这个流量是什么是怎么样的 如果我不开的话就没扣是吗 
我想问一下我这个手机的就手机短信的服务中心号码是多少短信发不出去 收得到 
咱们这个 哎你好我想问一下现在有没有五块钱的流量包啊 
诶你好 诶请问一下我这个五十八块钱的套餐有没有包括那个来电提醒了 
啊我这个套餐的是不是两五十八的流量多少这流量怎么还会跑到现在还没还没怎么用流量怎么会超呢 如果不是五十八的套餐啊啊 
喂你好 不要现在人家不是有一个五十八块套餐都是一百分钟几个g的流量因为我这个八八套餐三百五十分钟呃三百多流量 
喂你好我想问一下但是开机开机应急服务是什么 那为什么什么通五元变成一百零零是什么 
诶您好我明天要去那个金门然后金文旅游然后说要要开通哪个可以可以打电话用是不是 那那开这个要多少钱 
你好我想请问这个嗯去香港的漫游资费有什么套餐吗对就网络 四那个四五天了 
你好我问一下我这个八十八的它现在不是有那种什么优惠的那种那个什么套餐吗流量多的那种啊 对啊 
诶现在你帮我查一下是不是有那个八十八的套餐的无限流量的 噢就诶他不是不是不是现在又停机这一款嘛然后都一直都是八十八的那种的 
喂 怎么那么卡 
诶您好我想咨询一下我现在去这个八十八块的那个什么套餐吗十位预约套餐那什么吗你这个刚开始的我想问一下我如果分钟数少一点流量多一点这样行嘛 五个g过去到那些其实我能不能把那个分钟数少一点然后流量多一点这样可以吗 
我想问一下最近有什么优惠套有优惠手机套餐啊 那个是流量了哦电话是怎么样的 
嗯你好问一下啊我每次充话费的时候这边有一个嗯中国移动和包支付是什么意思啊 可是我没有开通这个啊 
为您服务再见过来 我们那边现在是有个干什么套餐五八套餐的那种是吗 
呃我想问一下你这个有没有十几块的套餐 就一个月有没有十几块的套餐 
你好就是我这个手机啊然后我儿子在玩吗合龙一号流量嘛噢我想开通有没有最好的流量啊就是说流量包比较多的 对啊都有在用啊去 
喂你好请问一下这个现在八块钱的有两种套餐是买两种套餐呢 那能帮你发到我手机短信进来 
哎你好我问一下你现在这个有个新的套餐是什么五十八元 噢还有一个是八十八五g的是不是 
这样不够用还有没什么套餐 六个月以后 
喂你好 我是咨询一下你们是八十八块钱然后是流量用流流量就是好像是不限量的是不是 
喂你好没有诶请问下就是现在有一个五十八块钱的套餐吗 噢然后还有吗 
我我想问一下我那个手机套移动座机流量套餐五十块五十块是什么意思啊 呃 
这听不到啊好的哦喂 回复 
诶你好诶我问一下咨询一下那个任我用幺三八套餐它这个是本地流量不限了 它那个如果怎么看电视了看电影或者晚上才东西只要是在本地都是不限量的是吗 
噢我就想问一下那个套餐呃我是幺五八的套餐吧我如果说想换一下别的那个套餐你们能那个简单的那个给我介绍什么或者发个短信过来什么样的我给您发积分反正还是全球通嘛就是包月的那个金额像要拔下来有几档而且那个是分钟数跟网络是个多少 呃 
你好嗯嗯问我这个手机很多就是骚扰电话这个有没有这个功能帮我开一下啊 嗯嗯那如果说其他人打电话也会也会被拦截是吗 
呃现在有没有什么省内流量套餐 没有省内的吗 
那我上次不是申请的那个什么幺三九套餐那个那个宽带多少装能不能那个装那种无限不是无限wifi那种的 没端口啊 
你好 之后就只有一个那个七其他用户的一个套餐嘛然后说做那个有有个套餐是幺三八然后佳园佳运宽带幺幺三八一二百分钟无限流量的无线吗 
哎那你现在移动有没有无无限无限流量的套餐是多少啊 本地本地的就是我们宁德的话 
一下噢呃呃问你们有推出一个套餐是八十八元五g省内流量一百二十分一千两百分钟的话是那个套餐嘛 那现在我能改吗 
请问一下现在全国有这种呢八元套餐是不是 还有呢没有流量还有什么送什么吗 
那个看一下这个有什么流量给我加一个流量 那你给我开一下就开八百兆了吗那个就就下个月取消就可以了 
那帮忙安新东开一下三七八 麻烦问一下它现在的套餐有没有流量我到人家的 
诶问一下我这个就是无线网这样子的 跟那个那个不叫漫游移动套餐就是我去外省的话呃有没有什么优惠啊 
麻烦请问一下有没有夜间流量包便宜 哎 
啊请问一下你们移动公司是不是有一种套餐是不是五十八块四十四百分钟咨询流量那个 那四百分钟是专门打移动的还是 
您好你好我想问一下 我想问一下我我不是我还有八十八百多兆流量是什么流量啊 
很高兴为您服务噢有外可以忘记接可以呀恩你好这个五块什么什么意思 块的了哎你好我想就是想说现在因为我那现在我流量不是已经超过了吗我是想问一下现在有什么套餐流量可以升级的 
哎你好那个就是你这个手机套餐里面的流量不是用完了嘛那个有有诶有没有说像别的那种套餐就我就不不是说对它办那个套餐是无限流量的嗯嗯一个月是十块钱还有多少钱就无限流量的它那个卡是多少钱的卡 噢 
噢我这个我这个手机这个卡上的是在校园里面无限流量吗 然后我刚刚就是用流量看视频然后就短信一直来然后给我显示扣了我几十块 
您好请讲电话 喂你好 
你好那个请问那那个有有一款那个八十八元的套餐是四g流量的对吧 对对对 
诶帮我查一下我这个套餐它是不是这个哎是是这个无限流量的它是是在哪个区域范围内用啊 发也可以了 
哎 你好就是现在那个流量不够用现在有什么优惠的就是呃有开通流量包的吗 
呃对是的那个这边现在宽带有有最大的是多少兆的 就用我的手机号码办还是什么是没错 
以前我再充的流量包然后不是有一种那个流量是会比较高一点的是吧 我不知道啊我现在是不是还有一个这个这个已经花了多少多少流量啊 
问一下你们这边有没有什么临时流流量套餐可以包是吧 噢哎哎对 
诶你好我想问一下呃就是现在学生那个噢有没有没有那种什么学生卡那个电话卡卖啊 什么对 
喂你好您好诶麻烦我想咨询一下噢现在我这个套餐下个月开始是呃打电话可以打几分钟 那如果本地就说在莆田四g那只有一百二十知道 
功能你好 那现在那种流量套餐有哪一些套餐呐 
谢谢 喂你好 
喂你好我请问一下你这有没有流量什么流量套餐啊 有不是有那种包半年的吗 
有一个什么好的套餐啊 都差不多就行了 
哎你好 噢你帮我查一下我我来的那个三十八元的套餐是什么套餐现在我朋友帮我改成那个固定的套餐它流量嗯嗯 
诶你好 你们有个活动就是有个一百三十八块钱省内流量不限那个套餐是吗 
喂你好我想问一下这个有没有什么优惠的流量的 就下个月那它是多少钱的流量啊 
我问一下嗯现在有什么套餐比较实惠的流量多的 恩 
哎你好现在什么流量包比较合算的跟我介绍一下好不好 嗯嗯 
不了 喂 
很贵我也说我这个手机号码有没有国内的那个流量不够那个省内的还很多还有两g两g多那怎么办啊 呃对啊在解决啊 
诶你好 我想问一下我我上次办了一个那个六十元六个g的流量包呗我用完了是没错是一个月六个g还是 
唉呀 喂你好 
噢就是哎你们现在不是有活动五十八元什么飞常了是吧 啊我知道他他们也不是说一百分钟国内打是吧 
不要这些你帮我看一下啊有没有什么还有什么流量套餐可以办的就是我现在要 对 
诶你好是这样子的我刚才我我过了好多问题查了一个没问噢我想知道我套餐噢本身是省内多少g国内多少g啊 噢国内都块两g是吧 
知道可以 你好我我这个呃就是有没有那个邓多流量的那个套餐 
喂你好 哎我想咨询一下因为我每个月都有用超流量嘛我就想办理一个有优惠一点的套餐今天你们有那个有打电话跟我说他说什么一百三十八什么的我没听清楚 
噢就是全球通不是一个幺八八套餐嘛 然后有送那个那个一百兆宽带是吧 
因为我可不可以别别人那个机子从那个流量吗 嗯就是说自己通过网上网网站吗还有啊不是充值比如说那个流量包那种 
啊你好那个我想就是咨询一下那个八十八的那个套餐 啊 
喂你好请问一下我的那个准备那个移动那个那个不是有宽带吗套餐吗 套餐我没办一百三十八那我们 
呃帮我看一下这个月有什么优惠的一个套餐因为我的流量已经用完了 呃有没有更优惠吧 
是哎你好我想请问一下现在是不是有一个新的套餐是五八还是八八的套餐然后有五g的流量是吗 嗯嗯不是五八的嘛我就昨天晚上我朋友好像跟我说无法才 
呃是不是有有一个什么那个无线无线套餐是吧流量 不是不是五十的吗 
喂您好帮我查一下有一个什么三十元的那个什么套餐那个 嗯嗯为什么说是今天开始生效 
喂 你好请问我那个那个套餐是五十九元的那个套餐是三g的还是什么的 
你好我想问一下那边有一个那个八十八元呃新的套餐呢 八十八 
呃喂你好 请问一下按一下这个宽带是什么套餐 
嗯 喂你好 
呃您好 兆我想请问一下我这个号码有没有流量 
为您服务哎你好麻烦帮我查询下本机号码办理朋友 做啊那行两遍不是那个号码卡是吧加起来对吧后来反应了 
喂诶就是有个问题就是不是你们有一个软件是和包吗然后你们有呃就是榕城一卡通那个软件打开的话一直卡在那边也没办法用充值也充不了 在那个榕城一卡通一打开就卡在那边也不懂 
那个问一下我们现在不是说有一个什么新增讲的套餐吗我回办呢 呃我现在是三十八的可以直接转三十八的吗 
你好我想咨询一下我下个月看的时候你们是有一个叫新飞享二零一七的套餐现在在那现在这些套餐还有吗 新飞享它那个八十八元套餐现在还有吗 
那个我想问一下我这个套餐不是送一条宽带吗 对啊我现在安装人安装吗 
你好我想咨询一下你们现在那个是不是有一个新飞享二零二二零幺第一然后一百二十八的这个套餐 你稍等我看一下 
喂嗯嗯 噢你好呃流量套餐有哪些啊 
哎我问一下我这个是包月的一个月九十九块钱的我那个流量一个一个月是多少g送多少g啊 是两g是吧 
喂您好我想问一下就是我这个手机有一个那个手机 定向流量然后这个流量可以再查询一下的电视吗 
那个流量套餐还有个什么套餐可以那个办的 呃加流量包 
哎你好我问一下现在有没有套餐就比较优惠的 对 
啊 诶我那个五十八块套餐有什么啊 
哎你好我想问一下现在有什么送流量那个套餐流量比较多的 一点五g的 
所以我想就只要流量充值多少 多十多兆了 
你好诶我想问一下就是 这个七晚境外那个俄罗斯那个有有有没什么那个那个漫游的那个流量啊套餐爱 
什么爱心那个流量包是什么东西啊我都没订那个怎么会有那个 啊 
我想问一下我这个套餐三十八的套餐都包括通话多少流量多少啊 呃我看我下了你们那个这个软件它怎么有一个增值业务费二百七十多是啥啊 
喂你好你好 那个流量五元多少 
诶麻烦问一下就是我这个手机号码那个就是你们那个积分啊然后可以换什么 嗯嗯换话费是吧 
喂你好啊请稍等我想问一下就是 不是但是他打电话过来一分钟两毛一一毛九只有一点吗 
诶我问一下噢就是那个不是我这个号码就是说另外一个号码他那个已经开通的那个六十块的那个半年流量包用完了还有没有什么流量包比较划算的 那个号码报给你帮我看一下还有什么流量比较划算 
喂你好嗯嗯我想问一下我这个卡可以改什么套餐吗就是说流量跟那个分钟数多 噢是全球通吗 
你好我想问一下本套餐的诶赠送的话费是两百分钟吗 嗯另外一百分钟他 
哎你好 我这个办无限量无线的那种是什么套餐呢 
呃那个一一幺三八的套餐不是说那个流量随便用的是不是 那那你把我的过身份那个幺三八的那个是 
到明天就到期是什么意思 想要零二十四小时里面有三十个小时就要用完是吗 
喂没有 哎你好就是这边有没有优惠的流量包好 
喂我们那个不是说有八十八元的那个套餐就是如果我是在漳州有没有它是它是什么有一千两百分钟数是吧 啊那但是我如果那个我现在是在漳州那那如果拿到那个北京去他是怎么算噢 
诶你好 哎你好就是我想问一下我现在这个套餐换八元套餐到时候来电显示是就包括里面了 
喂 我问一下你们这种有没有那种套餐无限流量怎么 
喂你好我我想问一下刚才那个那个厦门这边代理商他说有一个新飞享五万五八套餐二零一七版的是真的假的 噢它那个是没其他的没有其他另外收费噢 
喂你好 呃现在不是有那个五十八套餐有送那个二零二零基本有送三十g的流量多少我知道 
哎你好问一下就是有一个什么四g飞享套餐只要八块钱的那种套餐 好的你帮我那个改到这个套餐吗 
喂 哎 
诶你好诶我你帮我查一下我这个用的这个套餐是一百三十八的噢然后他就是有赠送一千两百分钟跟三十g的流量是吗 但是但是我这个噢它怎么通话怎么说已经用了一百分那种用了 
诶请问一下我那个国内流量是什么意思啊 噢就就就是就是问省内和国内不一样的是吧 
喂你好 呃我想问一下现在去香港的话有什么优惠的套餐吗 
呃你好我想问一下那个流量有什么流量套餐呐十块钱流量不够用 嗯实在那个有一个四十一兆 
呃喂你好 呃呃我这个号码是泉州泉州号码吗然后我现在人本呃现在在厦门吗然后能换到就是不是办归属地就是办一个套餐因为噢通话的话话费比较多一点有什么套餐可以办的吗 
啊喂你好啊我想问一下呃我这手机还剩多少七十 对对 
十五块钱一个g的呀 为啥有没有有没有别的什么呃补充包流量包 
您好请讲喂你好我想问一下你们这个网络有什么优惠的每个月有什么那个优惠的 噢就是那那那等于说我们之前的一些套餐会不会有影响 
我想问一下你们你这边没有推出推出什么流量套餐之类的 啊就是你的流量套餐可以跟我现在这张卡假的 
喂你好嗯嗯诶我问一下现在是不是有二零一七有推出那个什么二零一七版的那个什么钱什么全家统的那个 幺八八的那个 
了解一下我现在就是省内那个无线流量是套餐是最高是多少啊 幺八八然后办理的话它是 
诶你好我想咨询下有没有别的套餐就说我这个我流量不够用了也没什么别的套餐那个流量比较多的然后通话分钟数 不需要这么多的我用不了好像是八十八的吗那个变成手机的套餐 
可以啊那那流量包怎么怎么回事啊 他怎么回事啊 
喂您好我想问一下噢我有收到这个幺零零八六的短信它说我有个什么手机内流量定向流量什么二十几个g是什么东西啊那个那是视频的 噢就是爱奇艺的定向流量我还可以用二十几个g是这个意思 
哎你好那个我流量这个月不够用啦就是有没有什么呃优惠的流量先给我这个月称一下因为我下个月就升级为那个五十八元的那个套餐了 三十元一个月g是按天数算是吗 
哎你好有现在有什么流量套餐啊 除了这种的嘞 
哎你好我呃您好我想买那种国内流量怎么怎么 啊 
喂你好呃就是想问一下我这个流量都已经用了超了在你们那里有没有什么流量包的 嗯 
诶你好 我想那个一号 
喂您好我想问一下有没有什么全国流量包有的我们用十块钱一百 然后呢 
你好 我那个有个套餐送了几分钟打打电话的 
诶你好我想啊就是这个月底的套餐这个还是扣的套餐 都有多少钱了比较合算了一个就是这十几天内用完这个月 
喂 有开通一个那个什么八十八块钱的那个业务了你给我讲啊五百兆还是五千兆啊 
诶美女你好你你能不能帮我查一下我这个他有收到一个短信说我的那个国内流量和省内流量已经用完了但是还是有的什么定向流量一即没有用这个我不太了解这个是什么时候定向流量 诶但是是有什么时间段的要求还是说有什么呃什么其其他的要求要怎么才能用呢 
喂有什么套餐 我啊你就跟我说一个月初有多少吗 
那我想问一下有没有什么比较呃比较实惠的那个流量套餐 嗯这个月 
呃帮我查一下本卡是不是赠送三百分钟啊打电话 你在我听不见呢 
哎你好帮我看一下有没有嗯什么流量包什么之类的是开通流量了 怎么样那种那那有以前不是有那种十块钱加油包吗 
它会扣走那就才怎么个 你好你好我现在这个手机没什么用保底最低的一个月 
诶你好我我想问一下这个还有什么套餐比较便宜一点我想更改套餐 诶对 
诶你好你帮我查一下我这这部手机那个最低那个那个那个消费呢数据那个套餐能办理多少 哎 
喂你好问一下什么叫做梦网短信通信通讯费啊 我我有花为什么我每个月都有什么呃六毛钱的那个费用啊 
啊喂您好我想问一下噢呃现在有没有什么打国内电话就时长比较多的那个套餐然后很贵的一两分钟左右嘛在南平还是建议哪里在我在外省就国内的噢是扣是国内 就没有就没有相关的套餐是吧 
噢你那边有什么流量套餐比较划算的 对 
你帮我看下我这里面有没有其他加入一个怎么联网 哇全网就是它不是有一个呃姜一样的吗多少那个同相同的相在打电话多少钱多少一个月的 
对多少 我这个套餐是多少兆国内的 
哎我想了解一下那个呃就是无限流量那个套餐 就是我想问一下它是办完之后就跟套餐一样走吗走每月每月走 
这个我想问一下你们这流量包有没有什么套餐没有啊有 嗯嗯随便上也不知道能用多少兆啊 
喂请帮我查一下我这个套餐到底是流量一个月是有多少 每个月有有送五百兆的流量 
喂你好我想我一下那个上网的因为我现在流量用完了然后想请你帮我推荐一下那个流量套餐 呃六十块钱然后怎么样 
喂你好 哎呀我这个这个套餐这个月的呢话费这么多啊有没有别的套餐流量多一点的那种话费找一下 
讲喂 我想问一下我现在人在外地嘛我是电流量天地受不了 
我发短信说什么我怎么每个月十五块钱手机保障业务是什么东西啊 那我不那我不要这个那是我说那个应该是为什么 
你好我想问一下嗯嗯嗯嗯对呃五五十八元的套餐有四百分钟还有 就是当三g的流量有没有 
你好这个我想问一下能那个出国的话去那个沙发有没有这种流量那个套餐的 儿哎三八 
你好呃我想问一下呃就是那个八十八元流量不限电那个那个套餐我们这边有 只有本地的是吧 
呃现在流量快没有然后有没有什么加油包什么的就是有没有现在可以换换流量套餐 就现在能用的流量都有什么突然那个什么加油包有啊 
诶你好恩 诶我想请问一下那个任我看视频流量套餐它那个能不能介绍一下他到底是怎么回事 
诶我想呃这个月流量不够这样加一点流量什么套餐的 这种 
下午好呃呃我我这卡是不是流量的卡 那为什么我用了还差了 
那个我想问一下我那个里面不是有一个什么省内套餐然后保二档那个是什么什么意思 噢 
嗯嗯您好哎你好诶喂你好请说诶请问下就是说现在流量的话呃呃就流量淘宝的话它有多少的 优惠三十块 
诶你好你帮我查一下现在有什么什么套餐流量会比较多 噢那有没有什么直接不要改套餐直接就可以有流量的那个那个套餐 
喂您好 诶你帮我查一下那个什么五十元g的是吗那个 
哎你好我想已经办那个一三八的套餐还是说我的流量呢用然后分钟数多少可是为什么我还是欠费呢 嗯那这有没有二五您想见了 
喂你好那个我想问一下我现在这个套餐嗯嗯什么样子的 那我现在想换那个幺三八的就是无限流量流量不限量的 
诶我问一下啊 我跟你说吧我是那个福州的那个那个业务我现在人在山东为什么最近那个出差比较多我这个流量怎么怎么个做法因为我现在学校用的多了 
哎你好我想问一下啊那个每天一块钱有一g流量那个是什么套餐啊 昨天王的卡 
你好问一下现在有一种套餐全家福全球通还是什么一百八十八的那个 那个诶是不是有送一个宽带是吗 
呃我想问一下我这个套餐是三八的哦不是改成五五十八块钱的套餐 五十八块钱它是有二点五g吗 
哎哎你好你帮我看一下现在还有没有什么别的套餐我那个分钟数用不完 对 
诶我想问一下那个开通那个a吧开二十八的那个流量是多少二十八是三百兆二八三百兆还 啊那一百分钟 
哎你好请问一下我这个套餐一个月五十八块的套餐流量是多少g啊 就是我才用了几天就流量就没有了 
噢你好我想说我现在是在哪个手机我想说问你下相我们之前我办理的那个七十九元套餐那个我是宜兴掉它又给我你有办法嘞给我安装那个网络它一g不了我们这边没覆盖呢嗯那我想问一下说现在如果我因为我这个流量就等于我不够用了吗家里没网络嘞那我想说要申请有流量费就是说他们讲说有一个半年一年呃一个月四十块钱那种的流量是吗流量包那种的 呃一个月十块有一千兆就是半年那个那个是六十块六个g的啊啊 
诶你帮我嗯你们流量套餐有什么的 十块钱就一百m二噢好恩那我等一下啊 
诶你好呃我想问一下我现在想办一个流量增值套餐现在流量有哪方面的这个套餐可选 这个是全国通用的还是本月用的 
诶我想问一下就是说我这个电话号码有没有这样比较低的资费套餐然后我是要接电话其他用的接电话然后有点流量 我不在本地我现在在外省 
诶我想问一下现在有什么套餐比较优惠的是有买的 幺二八改成幺三八 
再见 喂你好嗯我想问一下啊你们幺零零呃你们移动公司是不是有一个就是说五十八的套餐就是说流量这种他说三个月之前是免费的呢五十八的套餐呐 
哎你好我请问一下我那个播出时段的流量是哪个什么 噢好好好那就好我还以为什么意思哪个失败了呃不会 
诶喂你好我想问一下我这个套餐那个它这个套餐的流量是五g的然后那个有什么两g不可共享流量是什么意思啊 噢是这样子啊那就是那个共享用完了就不可以了是吧啊 
喂你好 哎我这个改改成那个最低套餐那个有没有流量呢 
哦我问一下我我现在是不是那个三十多块钱那个那个套餐的可以吗 呃就是那个流量是送 
你好我想了解一下现在有什么套餐流量比较多一点 那我这个能更改吗 
