诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
你好 喂 你好 我 这个 流量 我 这个 有没有 不送 流量 的 有没有 啊   那 我 流量 要 办理 流量 包 一点 那 怎么 办理   十块钱 的 一 百兆 哎呀 我 为什么 它 又 回家 就 没有 了 那 时候 今天 十块钱 怎么 那么 贵 呀
你好 请 说 啊 你好 我 那个 套餐 里头 有 一个 什么 九百九十九 分钟 的 那个 清 噢 是 移动 什么 号码 对 呃 对 那个 那个 要 怎么 办理 啊   两个   噢 只能 添加 就是 省内 的 吗
你好 喂 你好 我 我 要 开 那个 国 国际漫游 怎么弄   哎 它 这个 开通 国际漫游 它 是 到 比如说 我 出国 到 到 日本 去 玩 就 可以 接电话 就 信号 还是 什么   呃 是 苹果 手机 应该 那 苹果 手机 可以
魏塘 诶 你好 请问 一下 那个   哎   现在 没有 了 这 活动 没有 了 现在 好 谢谢 恩 那 还有 什么 可以 帮 您 的
我 想 问 一下 我 有 一个 一部 上午 好 八 零三 三 的 是 天津 的 手机 那 我 现在 机子 丢掉 了 卡 是 必须 在 天津 补办 还是 说 在 莆田 细 情况 那 您 这边 有 那个   应该 有   对
你好 我 问 一下 呃 要 怎么样 赠送 流量 给 别人 啊   噢 没有 没有
喂 你好 你 那个 现在 那个 查话费 是 怎么 查   噢 诶 那 好像 有 的 不是 那个 然后 我 发现 你们 那个 短信 提醒 啊 我们 都 充 的 话费 怎么 会 地址 在 集 你 今天 给我发 一个 你 正 余额 不足 余额 不足 了   充完 了 一直 一直 在 提醒
喂   你好 我 问 一下 那个 我 帮别人 办 那个 什么 停机 保号 要 怎么 做 呀   有
喂喂 你好 你好 我 现在 手机 没 流量 了 我 想 现在 怎么 充值 流量   我 我 我 我 也 不够 费 我 一 g 都 不够 用   就是 我 现在 要 充值 怎么 充值 啊
然后 我 想要 开通 那个 国际漫游 怎么 开 呀   本 机要 开   我 到 那个 柬埔寨
哎 你好   我 想 问 一下 如果 我 嗯 那个 要 改 那个 套餐 要 要 要 不要 要 不要 身份证   就是 就是说 那个 宽带 要 取消 吗
你好 请问 一下 我 那个 什么 流量 不够 我要 就 说 被 一个 什么 加 流量 是 怎么办 的   对 实际上   呃 它 这个 不是 有个 十块钱 的 就
诶 我 现在 我 我 我 那个 线 怎么 加 亲情 号码   对   幺 五零
嗯 嗯 嗯 嗯   哎 你好 诶 那个 帮 我 请 帮 我查 一下 那个 呃 电话号码 是 幺 五八   嗯 密码 不 知道
喂 我 想 把 我 的 流量 分给 别人 怎么 分享   那个 都 是 到 过年 可以 取消 吗   别人 打 你们 取消 嗯 您 到时候 可以 跟 我们 联系
诶 那个 你好 我 问 一下 呃 我们 这边 现在 学生 吗 先生 如果 我 后面 后面 想要 刚才 买 移动 的 然后 如果 想要 办理 那个 学生 卡 的话 要 怎么办   您 就是 原先 我 是 电信 的 然后 我 现在 想 换成 移动 的 然后 我要 想要 学生 卡 那种 的   办 了 多少 不是 我 帮别人 问 的 就是 原先 是 它 是 电信 的 嘛 然后 他 想想 换成 移动 的 然后 要 学生 卡 吗 然后 你们 说 后面 买 的话 还是 学生 卡 吗 可以 直接 办理 这 张卡 套餐 呢
喂 你好 我 那个 我 这个 手机 那个 什么 流量 没有 了 怎么 购买 流量 嘞 个 月 的   呃 十兆 一百一十 五十块   噢 然后 它 然后 他 那个 这个 流量 用不完 就 留到 下个月 的 吗
喂 你好 那个 我 这个 手机号 我 想要 那 流量 流量 应该 怎么办   不是 我 是 这个 月 就 两千 它 十号 多 呀   一百七十 六兆等 还 剩下 一本 机 是不是 有超 噢
诶 您好 呃 我 那个 是 宽带 吗 然后 已经 办 了 报 停下 个 月 取消 然后 那个 猫 的话 要 怎么 退 呀 这种 的话 收 吗 还是 什么   有没有 押金 送 四 吗 没有   那 我 稍后 就 丢 了 怎么办
呃 喂 您好 我 在 那个 网上 购买 任 我 看 视频 流量 套餐 的 这个 号码 然后 今天 的 号码 寄到 了 然后 刚才 我 去 实名 认证 去 激活 了 短信 也 发给 我 了 然后 接下来 该 怎么 做 它 这里 有 写 什么 激活   呃 是 我 呃 是 另外 一张 另外 一张 号码   呃
哎 问 一下 就是 我 的 流量 被 限制 了 怎么 可以 弄 了   哦   呃 就 这个 啊 不要
你好 我 想 问 一下 现在 办 宽带 业务 的话 需要
那个 那个 什么 流量 安心 锁 那个 怎么 关   啊 对   嗯 好 谢谢 啊
嗯 那个 加油 包 怎么 怎么 开通 啊   呃 二十 多少   六十块 钱 一 百兆 的
诶 你好 我 刚才 问 另外 一个 客服 还是 意思 先 不 清楚 我 再 问 一下 比如说 你 你 刚才 说 比如说 我 也 查前 一年 版 的 噢 那个 我 跟 兑换 的 通话 的 记录   要 通过 什么 办法 才能 查 的 出来 就 先来 显示   最低 能查 座机
活动 有 一个 那个   有没有 早 一点 呐 因为 我 省内 还有 很多 就 国内 省外 里面   购买 那 可以 可以
喂 您好 嗯 请问 一下 我 那个 就是 服务 密码 就是 一年 上面 密码 给 忘记 了 那 怎么 充值 啊   身份证 号码 对 吧   我 知道
有   可以 了   哎 一家 对 对
请问 一下 我要 那个 积分 兑换 话费 要 怎么 换   要 要 下载 那个 htc 啊   噢 短信 用 短信
恩好   哎 喂 你好 我 这个 呃 八十八 的 套餐 然后 现在 怎么 把 它 改成 三十八   再见 可以
我们 流量 怎么 买 呀   还有 啊   噢
你好 我 那个 十一月份 的 那个 宽带 那个 盗 了 然后 用要 要 用 什么 方式 交交 啊   是 充 入手   哦 哦 号 好好 好好
你好 我要 办理 那个 流量 套餐 是 怎么办   十五块   那 现在 开通 可以 吧
诶 你好 我想查 一下 就是 我 现在 那个 服务 密码 忘记 了 我 现在 怎么 可以 找回 啊   本 机号码 的   噢 好 这个 没有 时间 限制 的 吧
喂 你好 噢 就是 那个 噢 手机号码 这边 现在 这 手机号码 不是 我 本人 的 身份证 包要 在 十一月份 的话 需要 怎么办 了   好 的 不是 说 我 今天 实名 认证 噢 身份证 不是 我 本人 了 然后 要 改 改成 我 本人 的 身份证 那边 的话 要 需要 什么 卡   个人 不行 哈
现在 现在 那个 要 去 香港 的 那个 接听 免费 的 那个 办要 怎么办 呢   啊   呃 不 知道 反正 就是 七点 九块 的
诶 你好 我 我 那个 服务 密码   怎么 怎么 操作   呃 要 下载 东西 要 下载 那个 mp 吗
哎 你好 我 想 问 一下 我 现在 这个 流量 不够 用 了 然后 我 想 那个 我 那个 流量 要 怎么弄   嗯 好 噢 哎   对 我 在 厦门
哎 不是 各国 你好 那个 我 问 一下 我 有 个 朋友 噢   他 他 要 去 那个 菲律宾 吗 他 手机 噢 手机 你 要 转来 我 这个 打 关机 的 时候 呼叫转移 来 我 这个 手机 什么 要 要 我 这个 手机 的 密码 我 都 忘记 的 打 都 没 怎么办 呐   对
你好 很 高 的 我 如果 去 泰国 漫游 开通 的话 要 怎么 开通   可以 开通 那要 押金 吗   啊 现在 不用 了 是 吧
就是 那个 手机号码 那个 充值 业务 密码   好像   幺 二五 九零 六七 对 吧
你好 诶 喂 你好 我 现在 我 这个 手机 密码 忘记 了 他 要 怎么 找 回来 呀   噢   还要 去 营业厅 设置 啊
喂 你好 你好 问 一下 就是 那个 人家 打电话 那个 可以 下载 彩铃 那 是 要 打 什么 你 报 给 我 一下   幺 二五 三零二   好 谢谢 啊 哎 好 不 客气
诶 你好 我 想 啊 我 想 问 一下 就是说 我 现在 就是 这个 宽带 然后 我要 移到 其他 地方 去 我 要 怎么 一
嗯 那 您好 很 高兴 服务 哎 你好 那个 我 这个 手机 嗯 手机号码 的 那个 服务 密码 忘 了 怎么 改   哎 好 的 好 的   嗯 没有 谢谢 诶
呃 你好 我 想 问 一下 我 那个 一下 我 这 手机号 的 那个 缴费 发票 该 怎么 去 来 呀   噢 对 因为 我 是 自己 要 绑定 网站 需要 他 说 需要 提供 缴费 发票   他 就 说 是 就是 缴费 的 发票
呃 是 另外 一个 号码 然后 就是说 那个 就是 以前 是 装 在 这边 然后 它 现在 要 移走 但 那 现在 怎么弄   二   密码 应该 是 嗯 你 说
啊 你好 我 这 这个 手机 的 卡 是 二 g 的 我 想 升 四 g 是 是 怎么办   对 对   我要 去 营业厅 才能 更换 是 吧
喂 你好 有 什么 可以 帮 您 麻烦 请问 一下 我 比如说 我 手机 直接 查话费 还有 剩余 说 话费 再 我 直接 按 什么 号码   幺 幺 它 没有 提示 剩 多少 钱 啊 只是 说 这个 月话费 多少 啊   呃 余额 要查 比如 这个 月话费 包月 套餐 通 通知 查 一下 常常 就 好 了
你好 我 想 那个 套餐 改为 五十八 的 套餐 是 要 怎么 改   就 说 我 我 现在 是 呃 一个月 嗯 包月 三 十八块 的 然后 不够 用 然后 要 改回来 改 五十三 号键 可以 直接 给 您 改   ok 可以
诶 我 问 一下 我 这个 现在 用 的 是 七九 的 那个 套餐 嘛 噢   也 是 免费 的 噢 然后 就是说   就是说 那个 到时候 如果说 网络 不想 用 了 那 这个
看 我 这个 号码 取消 掉 要 到 营业厅 去 吗   号码 销户 要 去 营业厅 是 吧   那 平均 号码 停机 保都 没用
哎 你好 我 那个 彩铃 啊 要 怎么 呃 那个 比如说 不 想要 彩铃要 怎么 删掉 啊   对 对 对   嗯 嗯 好
诶 请问 我办 那个 呃 用 那个 宽带 怎么 都 还要 去 哪里 办
哎 这边 想 问 一下 就是 知道 那个 嗯 电话号码 跟 那个 服务 密码 的话 可不可以 改成 电子 的 要 出来 啊   嗯 可以 可以 啊   就 不 知道 那个 就是 只 知道 服务 密码 可以 吗 就 验证码 收不到 接打 一下 吗
喂 你好   我 想 问 一下 那个 铁通 那个 啊 那个 那个   现在 的话 到 哪里 去 交费
哎 你好 我 想 咨询 一下 恩好 那个 由 他人 代付 的 那个 电话费 那个 发票 是 怎么 怎么 打 的   那 我 怎么 体现 是 是 我 这个 号码 用   主号 去 打印发票 那能 不能 我 十五号 去 打 的话 能 不能 单独 打 它 这个 付费 的 这个 客户 号 的 这个 号 号码 的 报表
呃 我 问 一下 下午 好像 是 外省 的 卡 在 厦门 掉掉 了 我 就要 补办 补办 如果 没有 那个 服务 密码 可以 补办 吗   不是 外 外省 的 两千   服务 密码 不 知道
喂 您好 我 有 一个 手机卡 上 然后 再 欠费 了 然后 我 不 知道 然后 现在 空号 了 要 怎么办   幺 三八 六零 八三   七七 幺 八
喂 你好   问 一下 那个 我 这个 手机 办 一个 宽带 的话 就 说 呃 怎么办 呢   好 的
喂   诶 我 想 问 一下 你 那个 一百块 钱 就 五个 g 的 那个 套餐 是 怎么弄 的   它 不是 有
嗯 您好 我 这边 是 嗯 我 这个 号码 打 过去 的 时候 有 标记 这个 什么 顺丰 快递 这个 人 去掉 吗   噢 那 那 怎么 取消 呢 我 这边 是   噢 好 的 好 的 谢谢 噢
喂   对 帮 我 看 一下 那个 校园网 的 那个 登录 密码 怎么 改掉   嗯
我 想 问 这个 手机 办理 那个 国际漫游 要 怎么 操作   然后 漫游 功能 的 几栋 几栋 就 办理 了 是 吗   那 我们 这个 带到 国外 去 可以 用
啊 喂 你好 我 想 请问 一下 我 今天 早上 还要 有领 的 那个 什么 卡来 着   呃 就 那个 什么 三 g 定向 视频 然后 一天 送 五百 兆 的   呃 对 对 对 那个 我 需要 自己 操作 吗 还是 你 帮 我 操作
诶 你好 诶 我 想 请问 一下 就 说 办 几排 玩 的 那个 电话 老是 漫游 是 吧   诶 对 对 对 我 是 想 问下 这个 漫游 是 怎么 怎么 开通 然后 是 费用 怎么 算 的 呢   就是 开 了 费用 他 是 怎么 算是 打 多少 算 多少 吗
嗯 就是 这个 那 电话 转接 怎么弄   对 的   我 知道 对 就 说 电话 都 是 软件 但是 它 一直 自动 的 时候 它 一直 显示 网络 异常 这四 g 的 时候 用 然后 一 g 就 变成 二 g
诶 你们 移动 的 那个 宽带 是 怎么弄 啊   对 啊 就 反正 手机 上 是 吗   对本机 啊
你好 我 这个 要 撤销 这个 宽带 是 打 这个 电话 吗   去 哪里   岛内 那个 厦大 这边
喂 你好 我 想 问 一下 那个 就是 我 的 那个 发票 的 人工 台 检测 了 那 我 后面 重新 开 怎么样   但是 我 发票 从 多 短信 出来 了 你 现在 没有 那个 抬头 的 我 那个 它 都 填错 了 然后 我 现在 要 重新 开 那个 话费 的 那个 发票 要 怎么 改   你 这边 不能 就 不 知道 怎么办 是 吗
我 那个 手机号码 那个 服务 密码 忘 了 怎么 可以 改 吗   噢   噢 行 好好
嗯 就是 你 那个 移动 的 那个 厦门 的 那 一点 打   噢 这样   他 那个 手机 掉 了 嘛 然后 现在 我人 在 东莞 嗯 嗯 他 怎么 什么 什么 挂失
很 高兴 为您服务 我要 解绑 这个 宽带 怎么 怎么 处理 完   如果说 电话   中途 解绑 怎么样 我 现在 有 几个 月 不能 用 啊 宽带 反映 了 几百次 了 噢 上次 我 中国 经济 钱 给 你 打电话 是 三天 业务 三天 给 我 弄 才能 用到 今天 我 已经 打电话 还 不能 用 啊 你 我 说 不解 绑 干嘛
哎 你好 你 把 那个 飞享 八块钱 套餐 的 那个 办理 方式 发给 我 一下
噢 呃 就是 本 机号码 如果 装 宽带 是 怎么 装 的   诶
你好 诶 我 刚刚 办 了 一个 那 三十元 买 那个 一 g 的 那个 wifi 的 那个 流量 的 流量 包 的 噢 我 就 只用 这个 月 下个月 不用 那 怎么 处理 啊   这个 这个 月 用 了 我 就 不要 了   收费 好好
嗯 我 这个 手机 要 取消 那个 来电 转接 是 怎么弄 啊   啊 我 来电 转接 了 帮 我 取消 了 去   啊 对 对 对 取消 来电 转接 谢谢 噢
您好 请 讲 呃 我 那个 我 现在 不是 停机 保号 然后 我 这个 那个 密码 服务 密码 忘记 了 我 怎么 可以 恢复 啊   我要 这 样子 啊   没 办法 不是 我 这个 绑定 我 绑定 的 东西 它 现在 要 验证 号码 变成 手 手机 给 我 那个 就 没 办法 是 吧
哎 你好 请问 那个 就是 手机 要发 什么 什么 那个 代码 然后 修改 那个 重置 那个 宽带 密码 您 发 一个 给 我 看 一下   呃 对 没有 错 另外 一个 手机 的   号 好 谢谢 啊
诶 问 一下 那个 问 一下 要是 密码 忘 了 要 怎么 修改 呢   啊 对   如果说 有要 收费 那个 来来来 来 修改
喂 你好   喂   噢 问 一下 我们 我 这个 短信 那个 校 讯通 而且 已经 没有 在 那边 读书 了 为什么 老是 哎呀 我 没收 啊 要 怎么 解除 啊
诶 我 这个 电话 开机 的 时候 要 转 短信 要发 什么 短信 我 忘 了   嗯 对   嗯 好 谢谢
那个 之前 买 的 这 一部 手机卡 的话 然后 就是 忘记 那个 业务 密码 了 嗯 现在 要 怎么 取消 业务 密码   你 这边 不 可以 处理 吗   那 我 直接 给 你 身份证 号码 呀
诶 你好 呃 我 想 问 一下 就是 噢 我 在 本地 想要 打 国际 电话 现在 是 怎么 办理 呢   要 咨询 一下   那 我 不 清楚 诶 是 怎么 算 呢
诶 你好 我 想 问 一下 我 这个 手机 的 手机 的 手机卡 的 服务 密码 怎么 查   呃 记得 记得 g 的   可以 可以 可以
呃 麻烦 请问 一下 就 说 我 这个 我 是 重庆 的 嘛 我 现在 回老家 重庆 了 噢   然后 怎么 就是 我 嗯 就是说 这 不 打算 去 福建 那边 的 那 我 这个 卡要 注销 怎么弄 啊   要不然 像 我 现在 就是 要 把 这个 身份证 原件 寄过去 噢
啊 请问 怎么 设置 那个 呼叫转移 呀   本机 转 他机   恩
喂 你好   你 帮 我查 一下 幺 八八   二 二四 幺 八
嗯 你好 我 手机 不能 超 了 然后 去 补卡 的 密码 忘掉 要 现在 要 怎么弄 诶   啊 就 南平 啊   最好 在 福州 在 福州
诶 你好 请问 下 我 这个 手机号码 装 的 那个 宽带 的话 我 那个 密码 忘记 了 加有 什么 办法   噢 好 谢谢 啊   嗯 可以
哎 你好 我 想 问 一下 就是 如果 我 的 手机号 和 那个 手机 的 掉 的话 那 这个 号码 怎么弄 啊   呃 补卡 那 我 现在 交了 能 不能 呃 先 那个 帮 我 停掉 啊 还是 怎么样 啊   不 知道 最 原始 的 密码 没有 动过 的
喂   我 想 另外 一个 电话 号   激活 一个 电话 号
您好 嗯 就是 你 帮 我查 一下 我 的 那个 宽带 要 那个   改 地方 的话 要 怎么弄   呃 就是 东西 自动 短信 手机 一号 楼
所以 我 都 没有 我 这个 没有 开通 什么 嗯 嗯 那个 业务 密码 的 吗   那 那个 那 这个 要 怎么弄 啊   然后
嗯 嗯   呃 我 想 咨询 一下 要说 我 有 一个 号码 噢 也 是 不 知道 密码 那 我 要 办 停机 保号 可以 给 五个 号 对 吗   嗯 我 知道 那 因为 我 是 现在 身份证 在 省外 没 办法 马上 寄过来 我先 停机 保号
那个 我 怎么 流量 那 打 什么 电话 都 查 不了   哎   那 我 想 我 流量 是 二十八 兆 是 吧
喂 赔付   噢 没有 我 刚才 有 一个 那个 有 打 一个 电话 好像 什么 又 后面 有 的 时候 什么 评价 服务 那个 余额 满意 的 问题 那个 我 刚才 啊   怎么办 我们 是 请 按 一键 然后 手 我 不 小心 按到 三 了
你好 我 想 问 一下 呃 国际漫游 怎么 开通 啊 噢   没有 我 想 问 一下 是 什么 资费 的   呃 日本
呃 我 想 问 一下 我 那个 宽带 密码 然后 忘 忘 忘记 了 那个 要 要 怎么弄   唉呀 噢 那个 我 有 接到 那 那个 电话 嗯 因为 那个 上网 去 你 那个 是 一个月   啊 现在 目前 那个 不要 了 它 是 你 帮 我 把 那个 宽带 密码 嘛 我们
哎 你好 我 有 一个 二 g 的 卡想 升级 四 g 它 现在 可以 让 你们 给 我 寄过来 吗 还是 我 一定 要 自己 到 营业厅 去 办理   诶 那 现在 泉州 东海 这边 哪里 我们 也 不 可以 办 的 吗   我 我 让你能 帮 我查 一下 龙海 哪个 营业厅 可以 开 呃 东海 地区 的 营业厅 是 吧
呃 我 咨询 的 问题 噢 我 那边 有个 宽带 然后 这个 宽带 那个 之前 是 用 是 我 同事 有 的 一个 号码 去 注册 去 注册 那 现在 他 这个 号码 准备 注销 了 然后 那个 宽带 我 又 要 用 我 现在 是 要 办理 什么 业务 呢   哎 再见   对 那 那 我 宽带 我 这边 还要 用
喂   你好 我 想 请问 一下 我 这个 手机号码 拿 去 申请 宽带 怎么 申请   嗯 好 谢谢
诶 你好 我 想 问 一下 我 这个 动态 密码 是 多少 你 能 不能 发给 我 一下   对 啊   那 那 你 可不可以 直接 你 发个 短信 我 怎么 设置 我 我 手机
诶 你好 噢 对 就是 我 那个 现在 用 的 这个 手机 是 那个 那个 那个 好像 张卡 然后 如果 要换 小卡 那 怎么弄   噢 一定 要 带 身份证 是 吧   那 是 呃 那个
你好 我 想 我 的 宽带 密码 忘记 了 怎么 重置 一下   不用 了 谢谢
挂机   喂 你好   所以 我 想 买 一个 流量 包 怎么 怎么弄
哎 你好 我 请问 一下 他 那个 这 张卡 的话 对方 一个 对方 一直 要求 要 过户 的话 那 那 每次 过后 很荣 怎么弄 啊   噢 我 这 张卡 吗 吗   不是 我
诶 我 怎么 换 套餐 你 那边 有 几个 套餐 可以 用   你 现在 我 感觉 现在 那个 套餐 也 没用 啊 那个 不是 说 现在 的 没有 长途 费用 什么 都 没有 那 就 现在 还 用 那个 套餐 用 吗   那 不是 这个 意思 我 你 你 你 现在 你们 那边 有 推出 一个 套餐 能 不能 跟 我 讲 一下 好不好 是 哪里
那个 什么 我 我 这边 的话 是 办 了 一个 宽带 然后 它 改 了 我 没有 我 没有 进行 这个 就是 办理 了 还 还 没有 让 他 上门来 给 我 装 然后 呢 我 就 把 那个 密码 和 那个 账号 给 删 啦 给 就 那条 短信 给 删掉 了 型号 我 应该 怎么办 的 现在 我想装 了 下   没有 因为 我 不让 师傅 上门 了 吗 那个 我 我 当时 办 了 以后 我办 宽带 然后 因为 我 没有 电脑 嘛 所以 就 没有 什么 用 然后 我 就 说 留 着 短信 然后 让 师傅 回头 我 再 给 客户 打电话 让 他 上门 然后 呢 现在 的 结果 是 就是 我 就 我 一个 校园网 嘛 然后 就要 一个 宽带 加速 然后 我 现在 把 那个 短信 删 了   我 现在 要 找 这个 师傅 的 电话 二 幺 找 这个 短信 就是 这个 密码 是 多少
呃 您好   想 开通 国际漫游 开通 一两天 的话 哎要 怎么弄   嗯 嗯 我 去 那个 新加坡 流量 暂时 不 需要 就是 通话 的 时候 要 用
喂   你 帮 我 看 一下 我 这个 套餐 怎么 改掉   怎么 讲
所以 咱们 自己 到时候 也 用 用 身份证 买过 一个 号码 嘛 它 现在 没用 要 怎么 给 它 注销 掉   现在   啊 谢
喂 你好 你好   出门 几天 那个 手机 没 流量 用 怎么办   噢
哎 怎么 帮 我 开通 那个 短信 业务 那个 号码 卡 放在 那个 手机 表 上面 要 办 什么 业务 开通 短信 业务 我 短信 接收 不了   对 对   知道
诶 您好 诶 你好 请 讲 我 想 问 一下 噢 那个 我 想 今天 过去 那个 澳门 然后 是 怎么 开 流量 的   一天 一天   那 就 到 你 你 就 帮 我 开通 流量 一天 三十块 的 吧
您好 很 高兴 为您服务 诶 你好   诶 我 注册 了 一个 那个 手机 邮箱 都 但是 我 那个 号码 现在 处于 停机 保号 的 状态 我 密码 忘记 了 不是 要 怎么弄   对 对
哎 你好 你好 问 我 想 问 一下 咱们 这个 不是 有 那个 十块钱 二十四个 小时 开通 十个 零 的 嘛 这个 怎么 开通 啊 对   没有 这种 的 呀 先生 过来 看 他们 发了 一个 短信 不是 有 那个 二十四个 小时 的   g 啊
呃 要 给 别人 送 流量 要 怎么 办法   噢 现在 没 办法 转   啊 现在 没 了 是 吧 啊 噢 好 好好 谢谢 啊
你好 我 想 问 一下 我 想 问 一下 信息费 新飞 享 套餐 怎么 办理   十八 的   十八 的 是 新 号 都 用 啊 是 的 那 三十八 套餐 那
啊   喂 噢 你好 噢 我 那边 那个 宽带 不用 了 然后 那个 猫 怎么样 收回 去 呢   噢 自己 拿 去 退 是 吧
哎想 问问 一下 我 我 这个 是 我 就 现在 我 这 部手机 就是 我 这部 本 机 就是说 要 开通 国 国际漫游 这 这 这 这 怎么 怎么 开 呀   不是 我 先 问 一下   呃 我 这个 功能 不要 钱 的
哎   唉 你好 我 我 想 问 一下 就是 我要 那个 sim 卡 吗 我 想 换 那个 小 的 就是 那个 四 g 卡 的话 怎么 换 一定 要 到 那个 营业厅 去 换 吗   噢 以前 我 这个 是 可以 网上 就是 网上 营业厅 身份 然后 好像 是 快递 寄过来 的 是 吧
喂 你好 唉 我 收到 那个 短信 就是说 我们 家里 的 那个 宽带 啊 好像 是 到 最低 还是 下个月 就是 是 要 要 到时候 到期 了 嘛 那 我 想 继续 哎 我 想 续约 一下 怎么弄 呢   手机 密码   噢 你 你 稍 等 啊 你好 发 信息 也 没收 到 啊 就 这个 无所谓 的 啦 没 了 刚才 不是 说 一直 呃 你 等 我 也 不 噢 呃 呃 我 没 试一下 吗
喂 你好 你好 那个 我 手机 密码 不 知道 我 我 怎么 改   呃 我 发送 怎么 老是 退 了   怎么 怎么 发送
唉 我 这个 手机 那个 呼叫 等待 怎么 怎么弄 手机 啊   好 的 好 的   对 对
哎 你好 我 想 就是 等等 我 那个 走 那个 数据   就 等 一下 然后 他 怎么 说 是 那个 手机 密码 我 这个 那么 它 说 那 时候 我 忘掉 了 那个 怎么 查询   幺 零六 三 发送 幺 零零 八六是 吧 幺 零零
喂 你好   呃 我 这个 套餐 了 我 不想 用 了 我 要 改成 十八块 钱 的 怎么 改   是 吧
您好 很 高兴 为您服务 哎 我 想 问 一下 就是 我 现在 有 一个 彩信 广告 啊   老是 发 我 怎么样 能够 取消 啊 我 想 把 它 取消 掉 是 什么 号码 发给你 的 三 幺 二 五八 零 大概 幺 二 五八 零五 全国 播报   知道
唉 你好   呃 我 想 问 一下 就是 我 这个 手机 加 流量 怎么 加法   啊 对 对 对
哎 你好 我 想 问 一下 我 想 开通 那个 电子 发票 怎么 开 啊   噢 你 帮 我 开通 一下 吧   那 如果 我 想 之前 的 怎么办 呢
啊 你好 就是 我 想 现在 这个 发票 啊 就是 账单 发票 等 都 是 电子 的 嘛   唉 我 这个 怎么 怎么 弄法 啊 我 只要   从 三月份 到 到 现在 的
唉 你好 那个 我 想 咨询 一下 就是 比如说 我 那个 电话 手表 想办 一张 卡 这个 要 去 移动 营业厅 吗   嗯 嗯 对方 在 那个 小孩 是 用 的 那种 电话 手表 上 我 这边 看 您 设备 支 不 支持   代理点
噢 您好 很 高兴 为您服务   喂   帮 我 这个 这边 有 那个 国际 就是 那个 流量 包 怎么 加 的
哎 你好 我 想 请问 你们 幺 零零 八六 就 每天 都 在 做广告 的 说 是 一 百兆 的 宽带 一年 是 一百二 这个 业务 要 怎么 去 办理 有 什么 条件 没有   我 这个 手机 是 公司 重复 的 对 的   噢 唉 我 这个 手机 可以 把 公司 的 呃 那个 账号 改成 个人 的 账号 这个 是 实名制 以后 公司 就 这个 呃 希望 我们 这样 做
唉 你好 我 想 问 一下 我 现在 装 的 这个 宽带 好像 到 这个 月 月底 到期 了 是 吧   唉 那 然后 到期 之后 是 怎么 处理   那 续约 的话 是 怎么 续 吧
你好 我 问 一下 我 那个 充 话费 那个 那个 发票 怎么办 呀   我 一直 都 要   不 知道
您好 很 高兴 为您服务 唉 你好 麻烦 我 问 一下 我要 那个 让 我 流量 优惠 只能 上海 移动 微厅 里面 加哈   不 不 我 知道 我 有 我 副 号码 可以   唉 不是 不是 我 问 一下 我 这个 呃 在 那个 你们 提供 一个 什么 营业厅 问 一下
喂 你好 我 就是 想 嗯 加 流量 怎么 加   大概 嗯 嗯 反正 我 现在 是 五佰兆 吗 都 不够 用 半个 月 的 现在 用 了 嗯 哼   二十五块 三毛 多少 兆
唉 你好   那个 这个 业务 就是 办 那个 副 号码 的话 发送 那个 可以 批是 吧   就是 主号 不是 有个 副 号码
喂 你好 问 一下 这边 宽带 怎么 拉 的   可以 帮 您 看 一下 资源 尽快 均衡 公寓 能查 到 吗 新 红 红绿 的 新桥 这边   新旧 的 新
喂 你好 我 想 问 一下 就是 那个 电话费 缴费 的 那个 什么 电子 发票 要 怎么 渠道 太 听 得到   啊 五 因为 我们 是 那个 学校 里面 给 报销 吗 然后 是 老师 所以 我 想要 一年 的   好 吗 好 可以 的
我 我 想 问 一下 这个 移动 啊 怎么 充值 啊 我 上个月 刚才 徐州 那个 当 已经 恢倩玉 分享 的话 到 九月底 啊   不是 有 山地区 那个 不好意思 你 你 看 本地 的 我 欠费 了 不 欠费 加好 了 他 反正 我 是 四个 加毛六 这个 怎么 标记 了   就 等于 写 的 是 多少 你 要说 一下 什么 意思 啊
哎 你好 我 想 请问 一下 因为 我 看到 我 这个 月 的 那个 套餐 流量 应该 呃 剩不多 了 但是 是不是 应该 还有 一个 送 的 两 g 啊   刚刚 是 一定 是 上海 本地 的 对 吧 如果 在 外地 不行 对 吗 对 是 的   呃 那 如果 我 在 外地 的话 呃 流量 不够 的话 怎么办 呢
你好 我 想 问 一下 就是 我们 集团 客户 的话 到 营业厅 去 开 那个 增票 要 需要 带 什么 资料   对 对 对   我们 之前 开 过 发票 的
唉 你好 那 我 想 咨询 一下 现在 是不是 呃 这个 固定 的 套餐 里面 的 流量 有 现在 增加 了 流量 我 看 一下 正常 吗   对 吧 那 我 怎么 去 参加 这个 活动 呢   噢 那 你 帮 我 申请 一下 吧 然后 我 一会 就 生效 了 对 吧
您好 很 高兴 为您服务 唉 你好 你好 刚才 忘 了 问 你 一个 问题 就是 合约 机 的 那个 发票 是 怎么弄 啊   我 想 办 那个 就 比如说 办 了 没多久   对
啊 你好   你好 我 想 问 一下 就是 如果 我要 装 就是 那个 家庭 电视 的话 你们 在 哪 哪个 地方 有 那个 营业厅 可以 办理   对 对 对
