您好什么可以帮您 诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 我帮您检查一下您稍等一下其实是那个三十块五百兆嘛我看了一下这个比较早开通了如果这个不要可以取消 唉你们那现在等于是最低是多少兆多少块二十几块套餐是不是 
您好很高兴为您服务 唉小姐你好是这样的我那个我是用本机给你打的我昨天晚上九点以后一直到今天上午还在收到什么一个一个什么视频啊什么有线的服务扣了我九块钱我现在根本就没有安装过这个业务为什么之前打进来的 额我们这边显示您这边是不是之前手机上是不是有按到了那这边的话是有发短信给您了不过它这个都是一次性的不是每个月都有的您只要不点播就不会再产生啊这个不是包月的业务 不是我没有申请过这个业务它一直打进来吧今天上午还可以用 
您好很高兴为您服务您好 呃我就是查了一下我的套喂听的太吗听得到你说我就是十八号的时候到那个上海台镇北路营业厅办理了一个测试嗯就是因为充话费送个手机后来我又参加了一个十元的套餐就是共享流量的这个的现在我查了一下这个就是我移动对对那个移动网网上营业厅查了一下怎么多了一个二十四元的套餐了 二十七元是那个任我看那个事情看视频那个业务是vip现在是优惠期优惠现在是三个月三个月以后自动关闭这个应该营业厅帮您办的对吧知道 呃是营业厅帮我办那为什么又产生了二十四元的费用呢 
您好很高兴为您服务 哎你好我想我名下这个号码上面有一个宽带那个我本来今天需要稍等我一看怎么十二月一号就帮我自动续约 那您这个宽带的话后面是不用了吗还是我不用 我不 
您好很高兴为您服务 唉你好你帮我看一下我那个手机怎么会有一个我的那个一个开通的怎么会有一个什么什么自选的流量包然后他每个月好像都有的我好像没人过 您看一下就是这个就是另外再加五十块一个g的是在那个上个月七月一号加的就一直没有取消过 噢那现在就是八月份肯定是已经留已经的话 
您好很高兴为您服务 唉你好那个我想问一下我那个手机里面流量这个国内夜间流量是怎么出来的 怎么怎么出来的 对国内夜间流量我之前好像没有订过什么夜间流量还有什么咪咕视频定向流量这什么东西 
您好请讲 唉你好我取消个问题啊我之前发现就是说那个有个就是流量提醒短信吗但是我的手机每天早上九点四十分就会自动发一个短信六六六六然后你就给我回复每天的这个流量提示因为是您通过手机的一个设置问题但是我的手机的时候是 今天 你你可以给我按你们今天还得可以给我提示吗这里有什么地方会有这个我从来没有说这种设置啊每天每天都是 
很高兴为您服务 噢那个你帮我查一下他我今天收到了一条信息嗯嗯说我临时关闭就是国际漫游但是我没有用已经联系过 没有因为您不是有个一带一路的五天的一个多国包多天的流量包吗那您这个的话因为有这个所以他这边的话国际漫游就帮您延期了不然您一旦您就用不了了呀到时候没关系的到时候取消就好了啊 不是我申请五天不就是无限量来延吉的呢 
很高兴为您服务 唉你好呀我想问一下我这个手机现在怎么老是出现一个什么和流言啊 留言什么稍等一下 人家打我电话老是什么语音信箱已经取消我也没弄过这种东西啊手手机上面那个时候不对对啊 
高兴您服务 唉喂你好那个刚才我打电话咨询了一下那个流量加油包吗然后我没有订但是我这边短提示是已经已经给我订了一个什么十九块多的那个四百多兆的流量的加油包了是吗 我先看看短信您不要挂已经通过短信办的吗还是什么问题 吧不是刚才他打电话咨询然后我没有说要把机回去给我发了个短信或者不知道为什么 
您好很高兴服务 唉我刚刚申请的不是喂 你好 我刚才之前也有 
您好兴您服务您好 喂你好我有个投诉一遍 是什么问题 呃我的我现在来电来电的号码上面有一个主号码你们公司给我强制退出的没有真的我的同意我没有那没有给我一个咨询全 
服务唉你好 啊我想问一下就是我的手机今天上网然后上上一次一批的话就会自动加起来就很奇怪的广告我想问一下这个该怎么去处理一下 你手机是不是中毒了呀乱那点了一些业务对吧 不可能我从来没点过什么业务我都是一些学习的学pp 
您好很高兴为您服务 唉你好我这个手机上昨天有一个信息呢大概什么游戏我没有下载呀扣掉十块钱 我看一下信息十块钱呃我看到了那这样吧您这边没有用是没有因为我帮您申请退退费资费五天可以到账这样好吧 啊可以的我不要用 
您好很高兴为您服务您好 喂你好我没有反应你这你帮我看一下我我的套餐好像是五十八块钱的意思怎么现在发信息是八十八元的套餐呢 您的月租是七十八的噢五十八的不好意思五十八的再加上那个二十四块钱的用户的那个服务 二十四块什么时候 
您好很高兴为您服务 唉你好哎那个我是机主幺三七六幺二幺五六零 什么 我是幺三七六幺二幺五六四 
服务 小姐我没订那个那个充值什么免费流量我没订过什么 流量是免费送的一个活动上面可能写清楚就是九十十一三个月每月是两个g的本地流量对免费的在上面使用的流量 过了过了上个月呢 
我靠您好很高兴为您服务我你们那个移动公司吗中国移动公司 上海移动 我问一下我这个是月租十八的就是这怎么搞 现在是欠了五十块钱怎么 
您好很高兴为您服务 喂你好我想请问一下不用不用你们刚刚转成发了个信息说我每月有三个g那个视频流量我什么时候寄的这个 这里并没有订只是说现在订可以就是说这个三个月的不收功能费这个业务您并没有订上去那这个手机sim 三十我就是这样一个月是三十兆这个是看视频是什么意思啊 
您好很高兴为您服务 你好我想问一下那个我刚刚呃手机上有有一笔五十元的充值记录恩我也没通过这个方式是什么情况 那我想问一下对对是实物充还是应该是天猫的天猫充值 嗯充五十块呃我在那个就是月头的时候买了一个手机吗不是要参加一个五十八元的一个移动套餐嘛嗯您在上面欠了多少兆这个 
