喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
呃那个就是我现在用的那个套餐是什么套餐呢 能办吗 我就我是换套餐可以换吗 不是它这个不是活动已经到期了吗 
啊你好我问一下我这个手机是什么套餐啊 它还有其他什么业务吗 它就只有包月十八块是吧 有来电提醒 
帮我嗯你好喂 唉你帮我看下我这个手机上有什么套餐啊 取消 还有啊 
您好很高兴为您服务你好诶我这个我这个号码那个八十八块钱的套餐给换掉了不是不是还有 我上个月诶我上个月那个的不是上个月注销的 我换十八块钱的套餐了吗 喂 
哎你好你这边帮我查一下目前本机的套餐 嗯 但八十八那有没有说什么免费分钟数 个多少分钟够慢一点 
哎你好本机什么套餐 手机啊那个那个不用客气还有什么可以帮到您还有多少分钟数没用掉谢谢 谢谢你还有两百六十五它三百分钟的吗不是一百分钟的吗 噢好的谢谢啊 
您好您请说喂你好诶我想问一下呃我这个套餐我这个我原来用的是那个那个多少五十几块的套餐是不是五十八块套餐能不能改成八十八的 那改了之后那嗯这这个什么电视啊什么这些啊照常能用吗 之前不能改啊 
喂你好 诶我呃我想问我现在开通那个八十八元的套餐有没开通 呃 到下个月生效是吧那我我之前里面那些套餐它下个月会失效是吧 
你好我就刚才那个设置呼叫转移的我现在刚才设置了然后你那边能不能看得到的 好的 设置好了是吗 噢它这个那怎么接电话它这怎么收费的呢 
对 哎你好帮我查一下我这手机号有没有来电提醒 呃没有帮我开一下呗 关机不在服务区的时候转移到来电提醒 
诶我这里面是多少的套餐 这个月呢 啊那下个月二十八了吧 五十八条取消 
喂那你给我每个月那个嗯签呃套餐是多少啊 还有别的什么没有家里有显示那个前一个月小孩子的那个读书的校讯通什么通啊 一个月多少钱 三个月十条三块什么时候什么时候怎么这样子九月二十五号开通的 
哎我问一下那个我之前不是有充了一个那个什么流量包 诶那个流量包能不能退回 对下那个呃我我这边不是不知道嘛那个这个月不是有赠送那个什么两g的那个什么流量那个生日的那个流量包 支付宝 
哇要新澳门 诶是 噢那哇这个哦那边计费是怎么计费有优惠的就优惠的赠送给我提供一下 哇大概是应该是三天四天吧 
喂你好 诶我现在这个号码那里面都是什么那个业务 我之前是那个办还是三十好像三十八块那个套餐啊 彩铃多少钱一个月 
诶你好你帮我查一下我那个下个月帮我改为十八块钱的那个已经到账了吧 唉行行行行别人的卡呢现在开哎麻烦你 对对对 三十八套餐二零一六版就改不回来了然后好 
呃我想问一下我下一个我的那个套餐有没有改 
诶你好帮我看一下我下个月那个套餐这样子是吗 噢是已经开通成功了 嗯除了这个的话它下个月就还还没有其他的那个项目 噢没有就就这个 
诶 喂 哎你好噢我问一下我这个手机办的是什么套餐呐 是每每每个月一百二十八元 
然后帮我发一下我这个手机的套餐套餐情况发短信给我 噢没有谢谢噢 
啊 但是他有个电话的这个是 诶诶我想问一下我这部手机那个有没有安装宽带啊我我想去呃网络先接一个宽带 那我一部幺三五九九八零四三七八的有安装宽带嘛那我不知道你们这边能不能分赠送一个点到我家去因为我楼上楼下都有用 
是我这个这个我这个号码噢他现在有没有流量包的 啊 噢噢半年的时间内有多少多少流量 呃六千 
喂 诶你好之前我现在这个这这号码有有什么业务啊 就没有了吗 可能有什么没什么用的帮我取消掉 
你好帮我查一下本机的那个通话的是用什么套餐好像小孩子再用都没什么打电话怎么话费就用的很快呢 那它现在是没有其他什么套餐吧 来电提醒要还有另外一个是什么彩印反映那个不要 噢好行那其他就没有了吗 
喂你好请问一下我现在这手机有办什么套餐你给我说一下 嗯还还有一个嘞 卡 还有一个就是有个那个什么你那个小wifi那种 
呃 呃喂你好请问一下我本机里面那些消费的业务 呃套餐出了什么套餐的 套餐是八十八的 
哎你好我想请问一下一台手机有什么套餐了因为那个上面有发一个什么飞享套餐八元套餐我这个我他这个老人机有没有影响他他想取消掉 噢就一定要有这个套餐是吧 噢明白明白噢那不好意思好谢谢啊问题还有其他要不买的吗没有没有没有谢谢哈 
诶你好帮我查一下我这个手机有没有开通了全球通 已经开通啦因为我要去日本可以用吗 啊日本可以用吧 噢对啊那我那个流量包月生效的吧我记得我开通了一个手机上网流量 
哎你好帮我呃现在诶你帮我查一下我这个现在套餐是多少 不是就是还有我还有另外一个号码 你是那边没办法改过啊 把那个幺三五五九六二幺五八零 
诶你好喂你好我想问一下我这个套餐里面怎么还有什么哎呃什么家庭什么哎那个亲情网是吧对啊怎么还有三块二零幺幺零的 二零一七年的还帮我取消掉六五 如果您 诶不用了我那个是那个那个手机都登登到哪里去了还有办理这个 
嗯请问我这个月那个十八每个月给给哪个东西呃给十八块 什么套餐 哎能不能取消掉噢哦哦 嗯 
喂你好 我现在咨询一下我这个套餐是里面什么套餐呐 噢那就是昨天发的信息我怎么又给我改改那个什么密码怎么信息啊嗯 不是啊我这里边呢是那个他说扣那个三元那个什么密码怎么我刚才开一下 
噢麻烦你帮我查下我这卡什么套餐 就是一百五十八是吗 发给我们呀 噢跟他怎么说一百块进去没几天就没了 
诶你好我想问一下这个号码的套餐是什么 他保底消费十块是吧 打电话每分钟多少钱啊 比如说你这个你把我那夜都有 
你好再帮我查询一下我的那个流量开始生效了吗 哼 对啊我这个号码可以刚买的就我可以用流量吗 可以就会生效了是吧 
呃喂您好我想问一下我这个手机目前有哪些业务 嗯 下个月还要打电话过去取消吗 稍后会自动取消 
呃您好请说噢你帮我看一下我的宽带到底取消了没有 呃您好已经取消了 还有什么可以帮您的 
喂您好我这手机是不是有办一个那个那个多少元的流量包来的 对那个什么时候到期 那你帮我取消掉 就是就是下个月就没有那个流量是吧 
呃你好你帮我查一下就是我这个卡除了五十八套餐以外还有其他什么套餐吗 就 其他都没有是吧 呃就会自动取消是吧 
诶你好呃我想问一下我现在这个号码呢是什么套餐呢 呃那帮我取消掉吧谢谢 好的 没有啦谢谢 
嗯嗯啊 喂你好帮我查一下我这手机里面那个你们你们流量套餐 噢噢没流量那个套餐最低一百块钱是啊 是啊噢那我知道噢 
你好帮我查询一下这张卡对了你好 你帮我查询这张卡流量计算话费了 那现在我对它这个吧一个月八块几分钟啊 那超过了 
嗯谢谢 诶你好那个你能帮我查一下我这个号码有没有开通那个就是港澳台漫游 嗯嗯 就是港澳台都有是吧 
喂你好呃你帮我看一下我我是什么业务吗怎么每个月电话费欠了那么多 彩印什么东西啊 你帮我关掉吧 那没有其他费用了是吧噢没有其他其他的那个订制服了是吧 
哎你好你帮我查一下我这个卡上都有什么业务啊 嗯 是那个呃就是那个幺八八的套餐是它有送话费两千四百分钟是吧 那它这两千四百分钟是还有分漫游不算吧漫游的 
呃您好我这个卡是厦门办的然后他不是说这个月再那个泉州下个月用吗流量啊 我那时候买的时候就有办吗 没有办理那现在能帮我办理吗 噢可以可以 
包 呃我想查一下我那个套餐里面是不是有一个集团业务的那个我想取消掉 噢就是那个公司的那个什么深圳市区城物业公司的那个 呃我想请问一下那个是每个月要交多少钱 
哎 诶你能帮我查一下我办了什么业务吗 那没有什么三g国际流量够吧 嗯对省内可以帮我看看 
诶你好 诶请问一下我里面有没有订什么什么东西啊 嗯其他没有了诶不是还有个什么短信提醒就就说那个幺二三那个什么 呃那个是什么 
你好你帮我查一下我有没有一些什么扣费的业务没 都帮我关掉就是里面只有六个套餐就可以扣钱都帮我关掉 然后点播功能什么都帮我关掉 好 
哎你好你帮我看一下有什么要收费的业务帮我取消一下 诶我想问一下呃我这个是不是要保底用多少钱的吗 噢噢跟他那个八块钱是家园八元吗还是飞享八元 噢那我知道了其他的了 
诶我想查一下我现在的套餐是怎么样的 还有没别的那个套餐可以那个大供我选择条嗯 好像赠送流量都有点不够 呃比较少 
哎你好那个请问一下我这个本地取消那个一百分钟完是不是还有两百分钟吗 联通电信不能再打移动就可以本地啊在外或者就可以噢 噢是这样子那一百分钟三百分钟吗 那现在不是还有亲人再说说明现在还有一百还有一百分钟是吧 
喂你好帮我查一下我这部手机有没有开通国际漫游啊 嗯您好您有开你看我那个这个到美国这部手机能用吗 开漫游就可以了等于不用含什么的我具体什么那个那个不用是吧直接手机都可以用是吧 那那个wifi的 
呃您好我看帮我查询一下我手机里面包月的都都有什么东西啊 噢办个流量套餐我能取消吗 还有个宽带的活动 我宽带活动是多少呀 
可以帮我查一下我这部手机开通了那个国际漫游吗 哎呦估计又 有邮美国旅游 好 
你好我想请问一下这个嗯这个手机号码的就是它的一个套餐是哪一种吗 三十八块钱嗯噢三十八块钱有三百兆是啊 哦没有那现在目前流量用多少兆是吗 嗯 
喂你好请问一下我这张卡里面那个业务有多少 噢基本套餐是多少 呃就是那个流流量卡是啊 那什么嗯扣了这么厉害啊这个月 
喂你好你帮我查一下我现在是什么套餐 暂时没有哈呃那我我要改个套餐 我呃现在有个什么东西的是多少 呃一个月八元的啊是的呃三八呢 
哎你好 问一下我的这个号码是是四六六五这个号码这个宽带有没有被停掉啊你帮我看看 好你这个我这个手机有没有欠费 本机这个号码是不是四六六五 
诶你好诶请问一下我这个手机号码好像有那个姐姐那个宽带噢 它是这样子我问你一下就是说我这个宽带的话大概是到什么时候到期呢 哪里我那时候是买的话是两年送一年的怎么现在是这么快两年时间还有一年怎么那这个这个有点骗人啊 不是他拿你听我讲啊它当时我们去营业厅办这个的时候到营业厅那边进来就跟我们讲他说你就是说交两年就有送一年的宽带 
呃我想问一下我现在手机有什么套餐 比如说好 噢那我刚刚跟你弄了一个呃就是宽带的一个套餐现在还没吗 对版 
你好我想请问一下我这个号码有开通什么流量套餐吗 噢那个可以取消吗帮我取消掉五十块钱的 那那个八十八元的是每个月的就是包月套餐是吗对对这个取消不了吧就是通话的吧不用改一下 噢噢好那你帮我取消掉五十元一g的套餐 
哎你好 呃帮我查一个电话号码的套餐看看是什么套餐好吗 幺五零 六零二七 
喂你好 诶我这个手机是那个时间有没有开通了什么东西帮我查一下消费怎么这么高嘞等一下啊 那你噢哎就这一种 这些这样子那你可以帮我关掉去吧 
哎你好我问一下为什么我这个有有定制了什么什么什么套餐之类的 是这个是活动到活动到期因为我我 啊 然后这些然后因为我刚才说的那些信息这些是什么情况 
喂 你帮我查一下我那个嗯嗯前一段时间嘛就是说有人要求我做那个七十九的那个包含宽带的那个套餐嘛然后你然后你帮我查查我现在哎嗯还是不是那个全球通吧 为什么啊 这个就不能取消是吧 
呃您好你好我我那个手机好像没有开那个全球通你帮我看一下全球通好不好 那我为什么我我我这手机必须地区打电话还要那么多 那不呃就是说不能呃那个呃一厦门在哪里用啊您在哪里用是在我是好这个时候能用的但是我去泉州的话转泉州那我帮您开个厦漳泉同城包好吗 噢我呃看呃问一下有没有那个什么那个呃什么流量呃那个加油包呢 
你好我这个号码除了套餐外还有什么其他 噢来电提醒那个给我取消掉 那个六元那个可兆 对 
那帮我看一下我这边有没有开通那个呼叫转移呀 对呀就是那个卡就是 她在 打不通电话电话 
诶你好诶帮我查一下我那个我这个手机那个号码里面还有没有在校通了 呃对有几个 那个啊 诶还有什么要还有什么什么要关掉你帮我看下还有什么 
哦我问一下我这个呃这个手机号码然后现在是包括几个业务 嗯 那三十八块钱的里面包括机是吗有流量套餐吗 噢有五百兆流量有噢 
呃您好你帮我查一下他记录里面这个手机号码有什么套餐 可以用了 
看看我这个我这个套餐不是今天不是改掉了 不能我那改改掉就是是这个是什么十元的不是不是三百分钟还是三百分钟 泉州欠多少好像也比如说这个打这个这这种就是打长途的 本地登登的打过来能能那那一百兆的就就打打那个长途的噢 
噢您好就是我里面那个套餐是属于什么套餐的 就是每个月扣十八块是吗 您其他业务没有吧自由包那个流量是不是啊 噢那那个还可以就是那我里面有订一个什么教育中心那个有吗 
诶你好我问一下好像我我这个号码好像有办那个宽带铁通的吧是的 对我好像快到期了是吧 干嘛 噢下个月就到期了是吧 
嗯嗯 喂你好你帮我看下我这个套餐是多少的现在 如果说我出了外地我这个流量里面还剩多少 噢好那我知道了啊 
喂你好我想问一下我我这个是什么套餐来算 嗯嗯啊现在这个是十八套餐是吧 十八套餐是最低是怎么收费呀 噢明白了那还有什么可以帮您的吗呃不用不用 
你好麻烦查一下本机除了套餐以外其他业务剩多少不要办 呃你除了套餐以外什么特级会员咪咕那些都帮忙取消 噢等于这个月都没有了谢谢啊 噢好知道 
嗯嗯 喂你好我想查一下这个手机本机的话有没有开通一些什么流量的业务 对 送了一百兆是吧那现在还剩多少 
喂你好 啊请问一下我这个有没有开通什么 噢要下个月才能退 噢噢没有多少有什么什么我刚才有看到一个信息怎么立即开通会员什么九块九块的 
喂你好我这部手机有没有开通什么语音留言 关掉了帮我关掉 帮我查一下看有没有开通有 那我这部手机怎么没人没接的时候它有有呃的话有收费电话费收费 
帮我 你好那个就是我这张卡我这边是什么套餐啊 七十九元套餐是 噢那是多少分钟啊 
哎你好麻烦你帮我查询一下我现在是什么套餐呀 全球通二十八的套餐二十八元啊那我想问一下现在是不是有那种五十八的套餐就是它那个流量是三g然后通话是四百分钟的 好那你帮我更改一下这个吧 好的 
喂你好我想我那个g的那个流量用两g多我想转给我的心不能用 诶那不是开通了吗开通了没有 啊另外收费是多少钱啊 到年底吗 
您好你好诶帮助嗯帮我查一下我这手机有多少的那个套餐套餐我看一下还有什么因为我这个月就九月份的那个收费看了好像不是很明白我想把它取消掉重新订 然后呃 后面这些没有了那两个集团网收费吗 噢好就是那个能能帮我那个五十块的流量包下个月取消掉吗 
喂你好帮我查一下我本机是什么套餐啊 十八块那有没有什么没用的业务 那你帮我看一下我的平均每月消费多少 噢 
哎喂你好请问看一下我本 还有其他套餐吗 噢好的好的 没有了 
你好帮我查一下诶幺五二六零九二二八零六那个手机有没有加入集团网 对对对 泉州地区就一g网 嗯嗯 
您好请讲噢麻烦你帮我看下我那个长途套餐以外还有什么其他收费的吗好的 家庭网呃什么什么王还有什么问题我公司网家庭网这两个没有不要挂机哈哦没事儿那其他什么都没有了噢 噢那好那谢谢了哈不客气 
的 你好我想问一下我这个有没有什么增值我怎么每天都在扣费啊 宽带每天扣 天扣多少 
喂你好呃我想查一下我这个八十八套餐现在除了这个套餐以外还有开通其他什么工 其他都没有了吗 我就那现在有没有什么呃这就是先新的那个套餐呢现在 噢那那那麻烦你就除了这个八十八套餐之外的其他的帮我关掉了好吧 
诶你好那个我问一下我这这手机卡应该有什么副卡办的共享一个套餐的 噢这个电信版什么也比较多 你们这边有什么套餐适合小孩子 啊 
哎请问一下我现在这本机号码什么套餐 噢然后剩多少分钟一百分钟 啊四十六分钟对我现在有没有加入明白吗 地方对名字 
喂你好你好他这个呃这个号码现在还有别的业务吗有没有别的 呃五十八块钱的月租啊 
麻烦你帮我查一下我这个宽带是一百兆还是五十兆的什么怎么这么卡 
您好喂您好你帮我查询一下我开通一些什么东西 嗯帮我稍等一下啊嗯嗯 没到这个月月底三十八块钱的套套餐都帮我弄掉吧我不要了 噢可以可以 
喂你好 我那个昨天他什么那个电移动的那个有什么那个营业厅能不能打电话他说申请了五十八元的套餐是下个月生效有没有办理啊 好 那那那他营业厅他妈的是是不是诈骗啊 
喂你好 听得到吧可以听到您说我问一下我本机是什么套餐呐 噢行那谢谢你啊 
你好你帮我查一下我这个手机号开了什么套餐 呃这个不要了这个这个那就是下个月 彩印要钱吗 呃那你超呃彩印帮我取消了 
诶诶您好我想请问一下就是除了套餐以外其他没用的那些东西 嗯嗯那边退出月以内 诶动漫动漫取消噢好的 你家庭网留着 
对对对对它 它那个 这个 嗯 
你帮我查一下这个号有什么套餐 十八块钱的呃这个十八块钱它是有哪一些优惠 噢除了十八其他有吗 那就超过了一百一百分钟就是开始进行备的是吗 
喂您好我想问一下就是我下个月不是改成三十八那个什么新飞享三十八套餐对对没错然后然后你你能不能帮我看一下我这个套餐应该没有时限的吧因为我的他那个套餐不是我自己打电话来这边改的 不是不是不要他只有你们移动客服呃教我换的吗然后然后我我我听他们说我之前就是有这样子移动客服打电话给我叫我换之后好像它那个生效七它只有一年啊是不是我明年下然后我就不能再用这个套餐 噢我知道你那就就是我这这次就是正常的套餐不会像我以前那样子噢有客服给我打电话然后那个有效期到了还是东西都没掉了吧 噢那就行那就是反正如果我不用了打打电话取消要不然就一直都在是吧 
诶哎你好麻烦帮我查一下本机什么套餐嗯查过了哎一个五十八元的飞享套餐那我查的哎行飞享为您 呃现在是多少钱套餐 这个月吗 噢噢噢噢噢 
你帮我查一下这个这部卡这这张卡开通了什么那个业务 这是主卡代付啊 那我这这张卡有钱不能付啊 噢 
请问我那个现在办的业务那个套餐是什么啊 然后我说把那个五十八块钱的下个月套餐就每个月都有三次三g流量吗 噢 那应该也也搞过有线的这个套餐吗 
您好很高兴您服务诶你好我想问一下就是我有升级一个那个套餐嘛八十八元套餐吗 就是它是到下个月生效嘛然后是在上个月应该是返还九十块钱话费是不是 好 等下我明白那我想问下就是有一个那个 
诶喂你好我这个号码又能又能关掉了吗帮我关了吧 好谢谢啊 其他收费套餐没有 把关没有东西可以关了吗 
诶请问一下那个我 诶月租九块钱然后的呃流量什么东西呢 没有流量的啊 啊那还有什么东西呢 
诶你好诶请问我这个套餐是一个月三十八块的不是啊 呃送流量多少 一点五g的流量还有通话通的那下个月打电话也可以打多少分钟呢 哎你好如果是南平是南平还有一百分钟 
好好好问一下我现在这个套餐是什么套餐按吗 那呃幺八八套餐你帮我看下有什么是有什么那个嘛有什么分钟数跟流量什么套餐呢幺八八 外省两个g省内不限量的通话分钟数多少啊一千二幺八八 如果拿到外省的然后通话呢 
诶那个我这个手机卡是那个包月的是吧 啊那这个月还没还没到怎么就那个发信息来说是欠费了呢 恩好的 噢是这样子的啊 
诶我就想问一下我那个流量套餐是多少 啊 那我现在怎么什么什么什多多少g的那个五十块钱 现在用完了没有 
很高兴您服务噢这个这个手机有什么套餐 他是说要取消了 呃全部套餐都取消了 那要扣钱吗 
你好我我这个我这个套餐是现在是改了三十八的套餐是吗 那个现在我然后我二十块那个流量也没办法帮我取消掉 
喂你好好哎哦你帮我查一下我这个号码里面每个月有些什么套餐 还有吗就这两样吗 那我之前为什么就上个月还上上个月说那为什么会有那什么是咪咕阅读的套餐是什么鬼 上个月上上个月的 
哎嗯 啊我想诶帮我的那个什么政府网了我好像是有办一个什么政府网了三块钱的是啊 睡觉帮我退掉吧这个月还是没问题 退掉应该是下一个退吗 
你好帮我查诶把我这个本机我这个套餐这个月是是什么套餐 对吧好像是吧 噢有改过去就好了不然我单位的号几个月都是八十八的也没怎么算 那里面还有还有什么什么购购买什么套餐呐什么业务啊 
喂您好你帮我查一下我这手机号有办什么套餐能帮我关掉一些通知就是那个 啊这个帮我关掉啊 对 噢好其他的还有吗 
有拨套餐自己还是一个月或者 中午好请讲啊那帮我那个线现在什么啊这这本机有什么套餐了是吧 哎 嗯亲春节他已经有发个信息来他说这个月把它取消不然就好下个月要钱了可以把取消掉嘞 
诶我想问一下我现在这个套餐好像是二十八的是吧 呃我想把那个流量流量多一点的套餐有有没有什么样的 呃也可呃三十八元的套餐有多少流量 好那那可以给我改成三十八的吧 
喂你好 嗯它发条信息过来那那个那个我那个宽带业务取消了你帮我查一下 好的那不 嗯取消啊它发一条信息过来说已经取消啦你帮我查一下吗 
有人吗我怎么办安装的卡呃你好 你帮我看一下里面有什么要收费都没给我取消掉 谢谢啊哎呀那我 嗯嗯嗯已经帮我登记了没有 
您好您请说有什么可以帮您想问一下我这个手机里面有什么套餐吗 噢那我这个还有别的要收费的吗 其他收费我看一下哈嗯二十您好感谢您耐心等待 那那个两个都帮我取消掉吧 
哎你好诶我想噢就是那个套餐问一下我这个手机里面都有什么套餐啊 诶那那个我这个套餐要改不到八十八的可以吗 就改降一格的吧再一个是多少 那你是说那个呃五十八是多少g啊 
我想问一下我现在套餐是五十八的套餐吗但是你们又打电话说可以申请到八十八的套餐但是意思就是说一千两百分钟通话五g的流量对吗 然后之前卡的归属地是泉州如果我现在人是不到等于说通通话分钟只能有三百分钟在福州用 对那我现在来营业厅他说我这个卡要改归属地要回泉州改吗 谢谢 
呃你好我我想问一下就是说你们这个套餐我现在是十八块钱一个月是吧 我想不是因为我每个月都要用超了所以呃流量的话我特别消流量我想问一下你们那边的套餐呃一就是说一千兆一千兆的是多少多少钱一个月的呀 九八对那你你那个一千兆的话就是等于先是在哪里用呢 噢比如那你们一百兆了一百都是出外省是吧 
您好请讲喂您好我想问一下就是我的手机这这张卡现在有什么事可以退订的吗 好的 那个取消的要关还有没有什么汽车我都没有订过 呃就是只只剩下一个基本基本套餐就好了 
好的 呃喂你好麻烦你帮我看一下我都有开通什么业务 噢那 嗯嗯 
啊那个我问一下噢那个我这个号码那个套餐是从哪哪一天订的 到时候您这个三十八是从去年的话费啊那个我这个套餐应该是被那个对那个订了什么两年的期限 是的就我就想查一下我这个有没到时间那 嗯十二月一号到期啊 
诶你好 麻烦你帮我查一下什么九月份应该什么二十元的数据流量这是什么 哦没有 
喂你好 那我现在用的这个套餐是多少的 呃那那个三十八的有什么是嗯那个 噢 
你帮我查一下我我我里面那个扣什么东西扣很多 呃取消掉了取消的 八点噢因为我还有什么东西还有什么东西啊 没有了是吧 
诶喂你好 请问一下我这个我这个电话号码对有多少那个现在有办了多少套餐啊有几个啊一个您这个号码本机号码的话不是一个二十八的 您就一个二十八飞享套餐 呃就是我那个流流量包流量包要不要帮您取消可以呀就是问您要不要取消 
诶你好我想请问一下我这个手机 什么 那麻烦你帮我看一下我现在有多少 噢现在这些这种流量能不能累积到下个月 
诶你好诶麻烦你帮我查询一下我的本机号那个现在套餐是一个月是是多少那个 八块钱噢那这个里面有什么那个就是有流量吗 噢没有流量啊啊那就是话费赠送的是几分钟啊 噢三十分钟噢好的那你要超出的话是一分钟是多少是一毛五还是多少 
哎你好我是不是有开通那个彩铃过 噢噢 呃我下个月帮我关了吧 嗯那没有了 
后面 诶您好我这个我这个手机吗我办的那个套餐是八十八的套餐吗但是我我的消费是在它那个送的范围内它就是就是还没用完但是它给我扣了费是每个月扣扣一百二十多是怎么回事呢 噢嗯嗯我要我我知道的那还有还有其他的消费的吗 其他没有了不是那个八十八的套餐就是有里面就包含的五g的流量还有那个我昨天宽带的噢那我现在我就是从这个月还是从下个月开始的 
帮我看一下我这个的那个增值业务 大什么呢 不是 增值业务现在一个月是多少 
有有很多那个七有什么业务这手机啊 九百八十 幺三八块钱三兆开一个那个啊来电提示有个什么宽带 对对 
是三十八的我一直以为我是 没有没有那个业务有什么那个你们是你如果每个月就是那个流量套餐没有用完是不是积到下个月下个月对 你们这边是不是有个新卡是一天一g的 四的套餐噢嗯对最低一定是一天一块钱 
呃您好你帮我查一下我这个号码有没有开通那个手机视频方面的那个业务 嗯 没有噢 这个噢好行好的 
你好喂诶你好你好我想请问一下我这个现在手机卡是什么业务就是我现在就是莆田的那个号然后现在就是在外省的话这个接听 噢等一下就是外省的也是 好行他那个月租一个月一个月扣多少 八块 
你好请问一下我这手机是不是有家校通 恩好噢有开通啊是一个还是两个呃就开了一个就开了一个什么诶那麻烦你帮我把这个取消掉好吗 呃那下个月底失效是吗嗯嗯对给您办好了噢诶好谢谢嗯不客气那其他疑问的吗嗯没有了 
呃我想请问一下这张卡是不是有什么安心锁呀 可能是就是发短信来说要取消安心锁才可以办那个无限流量呀 做 但但是手机上他他叫我要取消那个安心锁才可以办理我也不太懂 
我问一下我你那个移动是不是给我改成另外一种套餐了 看 刚才那那不是说现在不是有个移动什么什么送那个送机顶盒的啊他不是说我的套餐我的我的那个我在我这款不能不能办今年吗我好像看到它又换一个短信给我它会从今天十二兆到那个二零一九年十月十八号了有一种两g是不是啊 他都没改那是不是我的那你帮我查一下我这种套餐我这个套餐我这个宽带能不能申请要清零了的 
诶您好帮我查一下我那里面有没有怎么有有没有什么开通什么东西怎么一每个月都没什么打电话都要六七十块 呃帮我取消掉吧 来电提示那个那个是那个套餐另外的三十八然后再加一个来电显示六块四毛 噢这样子噢那那个好像是两块吗 
哎你好 我请问一下我那个知道 嗯这个这个它有什么用这套餐是多少钱 有没有别的我 
哎你好你能帮我查一下我现在用的是什么套餐吧 噢我好像不小心按兆好像是订了一个什么套餐是不是 对对对对对 能不能帮我取消掉 
麻烦你帮我查一下我这个号码它都有什么业务 这个这三块钱六块钱的都不要取消 嗯嗯 呃就自动没有了是吧 
你好我想问一下我这个里面再开通几个套餐 那那个五十块的套餐能帮我关掉吗 呃可以好已经办好了关的话是下个月多少是 
喂你好我想咨询一下就是我这个不是幺三八套餐吗刚刚有一个移动营业厅他说我这个可以前面升级了就什么泉州本地的流量任性用是不是 是不是有这种 噢它就是说呃然后就是什么什么另外再多加七千七百分钟这抱歉 对对对对 
哎你好你帮我查询一下这个手哦这个号码有没有什么业务 诶不好意思你可以说大声一点吗我听不能不能重置 啊 所以 
呃您好我想查一下我这个电话有什么套餐的以外的费用 什么都没有吗 噢可以换套餐吗 噢换十八元的吧十八元的是怎么算 
你帮我查一下我这个还有多少还有什么业务是不是 如果那要取消掉 到几月份 十二月一号啊 
我想你好我问一下我昨天那个就是说它呃五十块钱送两g流量呃那个帮我取消掉没有你帮我看一下 噢你就没有就是五十块钱自己诶你们送我三十块自己要付二十块钱套餐呢 已经取消掉了啊 它没有发信息给我的开通的话它说取消掉会发信息过来一直没收到信息 
再见嗯 你看一下我不是 知道这个月这个哦自己对 我五五 
那个校讯通帮我电话费啊 嗯 那 套餐 
喂你好 哎我想问一下我这部手机现在那个是流量啊那个是套餐是哪个套餐 噢那我这个月话费你可以查一下话费没有超出嘞 嗯 
哎你好帮我你帮我查一下我这个有没有开通那个彩铃功能 有开通了是吧 噢好谢谢谢谢 嗯没有了没了谢谢啊 
吧 你好你看我现在本机什么套餐呢 噢那这个卡用多久了也帮您 四月份对我知道 
请问一下我这个本机的套餐什么套餐啊 噢好 没有办理噢 一个月八元哈 
诶那个里面有个家庭帮我取消一下 他还没其他要都要扣费的嘞 恩好八块套餐叫他帮我取消了噢 还要什么帮助哎下个月不扣了对 
诶你好我想问一下我现在手机是那个流量套餐是用什么呢 五十块的噢七十块钱两个g只有十块钱噢 噢那把我弄掉我不要那么多因为我有别人有共享 那取消掉了那我就是没有是吧 
你好诶你好帮我查一下这个这个号码的套餐是多少 那么多 那其他其他还有什么业务呢 那十块钱的流量啊 
工号 麻烦你帮我看下我这手机除了套餐之外有没有什么额外要扣的费用有没有好您稍等一下麻烦你 营业厅的套餐以外的为您查一下什么 哦 
唉呀 喂您好我你好一个月收费呃我查了一下吗我这边套餐是十八块钱的套餐吗 然后我查一下这个近几个月收费他说有一个费用是固定费用怎么是二十四块儿有没有六块钱是你 噢那那那个那个短信还有什 
喂喂哎我想请你帮我查一下那个我这个手机里面有什么那个套餐吗还有什么扣了一些什么功能 号好谢谢 对对然后这个我不要了我我把它取消掉 哎加上三零二二好的 
喂你好那个我现在想查一下我现在在用的呃流量套餐有哪些 噢没有退掉吗 上个月都已经发信息来退订了怎么还打电话了怎么还会帮我退掉呢 那现在帮我退一下吧 
六五 零噢小啊 喂 你我我问下这张卡它套餐现在是什么套餐呢 
呃那个我上个月是不是有一个什么十元的流量包啊 嗯九月的时候 因为我不那我看下怎么扣了呢 噢好那这个月就直接取消掉了是吧 
哎它里面这个对那个飞ip套餐单元给它取消 对对对 还有来电提醒功能 没有了 
你好你能不能帮我查询一下吧我昨晚是不是开通一个那个流量共享的那个包啊 噢那你那个这边能帮我取消掉吗 噢那这个月还是工商的是吧您已经取消过了先生 噢因为我这边是显示因为这个号码我写错了因为那是他那个号码是幺三八六零八六零然后把它变成八六八的然后我这边点击那个一出然后他也没有说基础成功它下个月会自己失效是吧 
嗯你好我我想问一下我这手机是不是有一个一百块钱的那个什么流量包啊 我是这样子我早上有个那个什么优惠的嗯嗯优惠你们移动的那个打个电话给我说有个八十八的那么优惠套餐为您服务五个g的那种流量的然后移动套餐电话的那种怎么一回事啊 嗯嗯从来帮我开通了但是我还没收到短信嗯啊 噢这样子是吧如果办理成功了会儿收到信息是吧 
