为您您好很高兴为您服务喂 诶你好你帮我查一下我本机号码 
吧 有 
您好很高兴为您服务 哎你好我想问一下我就是不是积分兑换吧呃积分兑换然后我登陆了然后就是他说客服密码是什么密码了 
您好很高兴为您服务 唉你好我就是想问一下我这个可以查一下我这手机就是当时就是办卡的一个身份证的户名是什么吗 
您好很高兴为您服务 哎你你你好我想问一下就是那个什么卡的什么服务服务服务六位密码还是什么东西 
您好很高兴为您服务 噢你好 
您好很高兴为您服务 你好帮我查一下幺三九幺八幺八五八幺八 
您好很高兴为您服务 唉先生你好是这样我收到那个账单但是那个我们公司账单然后我不知道这边联系哪里能跟您核对下地址吗 
您好很高兴为您服务您好很高兴为您服务您好很高兴为您服务听得到吗你好很高兴为您服务 呃我就是服务发完机呢还是怎么可以走的回来 
您好很高兴为您服务 唉喂你好你帮我查一下我手机绑定的这个宽带账号是多少因为昨天我报修的现在那个修人员需要问我要账号我记不得了 
您好很高兴服务 哎你好我想咨询一下那个幺三九邮箱如果就是没有更改过密码的话初始密码是多少怎么设置呢 
为您服务 喂你好 
您好唉你好我那个我想咨询一下我这个宽带的那个用户名跟密码就这个本机号码 是那个拨号连接上网的那个账号密码是吗呃这个您用手机发送宽带密码四个字的拼音首字母到幺零零八六他账号跟密码都会发给您的 
您好很高兴为您服务 啊我就是不知道我这个手机服务密码是多少你能帮我查一下 
喂你好 好 
您好很高兴为您服务 好噢您好是这样的我想看一下我这个移动号码它现在呃有没有实名制啊噢哪个号码您报一下呃幺三六嗯四幺八五五六五幺那就 
喂你好 您开就是手机号留不了你好喂 
您好很高兴为您服务 您好帮我查一个手机实名制 
您好兴为您服务 喂你好我想跟你确认一下我现在来电的这个本机号码是去实名验证的把名字和身份证号码报给你报修一下好嘛 
您好很高兴为您服务 麻烦你帮我看下我的宽带账号 
您好很高兴为您服务 喂你好唉请帮我我是用同敏先查询一下我的那个呃有使用这个幺三九幺七二零八八六八的卡号联系 
很高兴服务小姐是这样的就是我收到一条短信就是我报一个号码是那个嗯幺三八 幺三八 
很高兴为您服务 唉您好麻烦查两个电话是否实名嗯您请说嗯电话号码是幺五八零零五二三三零九幺五八零零五二三三零九他的名字是吴振清身份证号码三六零四八幺幺九八零零八二八零零幺八 
服务喂你好 请说 
您好很高兴为您服务 哎你好我想问一下我那个家里的网络我想登录那个路由器那个是账号然后他需要那个用户名密码那个用户名是哪个用户名 
您好很高兴为您服务你好我想 我想问一下我的服务密码是多少 
您好很高兴为您服务 唉喂你好我想问一下我这个我这个就是手机号四十元嗯想咨询一下办了我就是我这个身份证已经办了多少个手机号了都能查出来吗 
您好很高兴为您服务 喂你好唉帮我 
您好很高兴为您服务 唉小姐我想那个问一下我这个客服密码是多少 
您好很高兴服务 喂你好那个我是你们客户啊这个电话号码是幺三六六幺八零五七零幺 
要把第二个是银行已经出去的你好我想问一下我的那个移动宽带那个密码是多少 移动宽带密码只能是家里无线网呢还是说你 
您好兴为您服务哎你好我想问一下就 我这个手机号码是不是已经实名认证过了 
您好很高兴服务喂你好 您好请讲 
您好很高兴为您服务 喂请问一下我那个手机密码多少忘记了 
您好很高兴为您服务你好有没有变化唉请讲 我想那个就问一下这个手机的这个密码是多少 
您好很高兴为您服务 唉你好我手机号实名认证一下 
呃您好请讲 唉你好帮我查一下我的那个套餐那个幺三八 
您好很高兴为您服务在闵行区唉小姐你好呃麻烦帮我查一下我们因为我的那个叫什么或者这样子麻烦密码记不住了一一 家里wifi密码 
您好很高兴服务 唉你好是哪个号码幺三六 
您好很高兴为您服务 呃帮您看这号码有登记吗幺八七 
行 您好很高兴为您服务 
您好很高兴为您服务 你好我想查一下我去年六月份的那个通话记录可以吗 
您好很高兴为您服务喂你好二零六你给我传好了 就办那个八十八送话费的活动对吧唉对啊啊我帮您把您手机密码知道吗 
高兴您服务喂你好有什么可以帮您的我想问一下那个单位单位那个证件号什么是什么证你那个流量吧 嗯单位证件号码您说当前来电这个号码的单位证件号码吗 
您好很高兴为您服务 唉我现在用积分那个购物他现在他让我输入客服密码我不知道我的客服密码是多少 
好很高兴为您服务你好我就是这个是 这个手机号我登记的身份证不知道是谁的啦因为这个我们家号几个人这个这个号太用太久了不要登记这个名字谁的这个能有帮我查吧 
您好很高兴为您服务唉喂你好那我有个问题想问一下啊就是我去那个营业厅拉的那个短信的那个详单嘛 噢 
您好很高兴为您服务 喂你好是这样的我原来有张移动卡您帮我查一下就是因为好长时间没用了帮我这个号码是多少 
但是这个已经超过 一百二十九零喂你好 
您好很高兴服务 你好喂你好哎嗯嗯我那个密码什么出初始密码充值这么多 
您好很高兴为您服务 哎你好我想问一下你们上海这边就是装移动宽带他的密码是多少啊 
您好很高兴为您服务 恩你好我想问一下我的手机那个服务密码是多少 
很高兴为您服务 嗯嗯喂你好嗯您好请说我想问一下我已经一个手机号码不用了干吗没注销它会不会欠费啊 
您好很高兴服务唉我我问一下我有个手机号码幺三六二二幺八八嗯零我这个是后付费的还是县付费的 幺三六二幺八八多少 
您好很高兴为您服务 恩你好我想问一下我的手机那个服务密码是多少 
呀 您好很高兴服务 
呀 您好很高兴服务 
您好很高兴为您服务 你好手机号幺三七 
不 唉你好麻烦你帮我客服一下幺三五二四三四八二八六这手机号是不是一起的拜拜身份证 
很高兴为您服务 喂唉你好我想核实一个手机号的实名咨询好的先生麻烦您把手机号码报给我呃幺三八 
您好很高兴为您服务 嗯而且这张卡主要功能要开通什么你好 
您好很高兴为您服务 恩你好我想问一下我的手机那个服务密码是多少 
您好很高兴为您服务 喂你好我想问一下我这个卡是四g的 
您好很高兴服务 喂你好你帮我查一下我的手机号密码忘了你帮我查询密码 
您好很高兴为您服务 喂你好我想问我想咨询一下啊我的号码如果别人需要的话他怎么可以查下我的号码 
您好很高兴为您服务 哎你好我想问一下就是我这个手机号的服务密码是多少多少 
您好很高兴为您服务 喂你好我问一下这个号号码是不是幺八七的 
您好高兴为您服务 唉你好那个我想查一下一个呃我女儿那个手机号码的实名制是我的名字还是她的名字 
您好很高兴服务 喂你好我我是想问一下我这个卡是什么类型的就是那个动感地带还是什么神州行的 
您好很高兴服务 内容呢 
您好很高兴为您服务 你好我这个手机号码多少 
您好很高兴为您服务 我那个服务密码忘了帮我查一下 
您好很高兴为您服务 喂那个我想查一下我手机我那个然后要怎么开通啊 
您好很高兴服务 唉你好我这个那个已经用上的什么服务密码是不是我这个手机的那个营业执照 
您好很高兴您服务呃你好我想核对一下本机的一个实名制的恩好的姓名身份证您报一遍 嗯姓名叫什美丽取消的时梅花的美丽的丽身份证号是三幺零幺幺零幺九七五幺二二六六嗯对吗 
您好很高兴为您服务 我那个服务密码忘了帮我查一下 
服务 哎我想我想问一下我这个手机密码是多少 
高兴为您服务 嗯是这样的呃我想查一下呃我账单的邮寄地址现在是哪里呀因为我搬家了我不记得我也没有改过 
您好请讲 哎你好我想让你帮我查一下查询一下我另外一个电话密码的另外一个电话费你们这个呃使用情况 
您好很高兴为您服务 哎你好我想问一下我这边想用用积分兑换那个话费嘛它提示我要什么客服密码我想问一下我的客服密码是多少 
您好很高兴为您服务 你好唉我就是这个幺三六四幺八九七零五幺的手机吗喂唉我到这个手机我家里办了一个宽带他到我现在这个呃我的用户名就是我这个手机吗我的密码是什么我忘记了 
您好很高兴服务今天 呃你好我想请问一下我这个手机要换那个积分兑换然后它有那个客户密码那个是怎么弄呢 
您好很高兴为您服务 喂你好我想问一下你们的服务密码错误吗 
您好很高兴为您服务 唉你好 
您服务 喂你好我这个本机有收到两次款嗯他这个意思就是说呃我那个信息不完整什么需要超出就像实名登记啊 
您好很高兴为您服务 哎你好我想查询一下一个号码登陆人使用是不是我们公司因为员工因为我们这边是帮他办信用卡需要查询一下 
噢 你好 
您好很高兴为您服务 你好我想查一个手机号的实名制登记情况 
您好很高兴为您服务 呃您好这样子我这个手机号码呃我现在银行银行说我这个手机号码不是实名制但我就是这个我自己的这个名字的所以我想要一个证明所以我想问一下就是你们可不可以呃中国移动给我发一个邮件邮件然后证明就是我的名字就是这个手机号码 
您好很高兴为您服务 唉你好你好我这个号码停机了是吧我不知道这个卡是我哪个卡了就是我不知道这个卡的号码是多少你能不能帮我看下先生您来电的这个号码吗对啊 
您好很高兴为您服务 唉你好能不能帮我查一下就是就是我另外一个手机号码然后我我来按就好了然后我我看这服务密码对不对这样子 
您好很高兴为您服务 你好我想我想跟你说一下 
您好很高兴为您服务 那个那个你好那个手机服务号怎么打 
那个 您好很高兴为您服务 
对啊喂你好呃我想问我想你帮我开通一下国际漫游 可以慢慢游到哪个国家 
很高兴为您服务您好我查的手机实名制您说幺五零 嗯零零五五嗯 
您好很高兴服务哎你好我想那个核对一下这个手机号码办理的那个对应的人 好您报一下帮您嗯嗯 
您好请讲 你好我想查一下来 
您好很高兴为您服务 您好我这边记得我的宽带账号但是我的密码忘记了能帮我查一下吗应该是原始密码没有做更改的 
您好很高兴为您服务 唉你好麻烦你帮我查一下这个我这个手机号是我的名字吗实名制的吗 
您好很高兴为您服务 哎你好我想查一下实名验证幺三八 
您好很高兴服务 哎你好我想问一下我现在这个卡是属于公司卡还是属于个人的个人呢哎好谢谢恩不客气 
好很高兴为您服务 你帮我查一个座机号码我不知道他是移动的还是联通的 
很高兴为您服务喂您好很高兴 服务帮我查一下那个我幺三九邮箱的密码 
您好很高兴为您服务 你好你帮我查一下这个幺八二零的号码 
您好兴为您服务 哎哎你好我想知道一下我这个手机号码的服务密码吧 
您好很高兴为您服务 唉你好你帮我查一下我这边那个宽带是这个那个当时约安装那个信息吧 
您好很高兴服务 二二七 
嗯 您好很高兴为您服务 
您好很高兴为您服务 呃我想问一下我我不是能登到你们那个营业营业厅官网吗网上然后就能查我的那个短信电话是详单吗 
您好很高兴为您服务 喂 
您好很高兴为您服务 唉你好 
为您服务 您好请讲就是第二次零的那个开通的这个手机号码是不是上海移动的 
很高兴为您服务 唉你好 
您好很高兴为您服务 唉小姐你好呃我说前前两天吗办了一个是幺零八的那个套餐的这个宽带的嗯我这个他给我那个密码我 
您好很高兴为您服务 唉我那个服务密码忘了怎么设置他让我打幺零零八六 
很高兴为您服务 唉我忘记服务密码了怎么弄 
您好很高兴为您服务 你好我是装宽带师傅来了无法知道你们这个密码怎么怎么弄呢什么情况 
您好很高兴为您服务然后我想看一下我手机的服务密码多少 呃密码需要自己设置的您如果之前忘记的话我帮您接语音提示你重置一个新的好吗 
您好兴您服务您好要问一下我这手机密码是多少怎么手机服务忘记的话这个只能重新设置了你打幺零零八六按四号键根据语音提示再设置一个新的就可以了 反正我反正再按一下四号键然后再办新的密码 
您好很高兴为您服务 你好帮我看一下我服务密码的时候 
高兴为您服务您好 您好喂你好 
您好很高兴为您服务 呃您好我这边是交通银行的然后是这样的这位客户是在我们这边修改信息那现在改手机号码的话我们必须要实名认证的可以来问一下我先报一下名字您核对一下是否支持这个人的好嘛 
您好很高兴为您服务 喂请问我这个手机号的手机号的服务密码是多少 
很高兴为您服务喂您好有什么可以帮您 我现在这个手机号码还是那个金卡联系吗 
您好很高兴为您服务 喂你好哦我的父我的这个号码的手机服务密码忘了我这 
很高兴为您服务 唉你好你帮我看一下呃我这个手机当时注册的时候呃是不是以公司名字才能注册的 
您好很高兴为您服务 你好唉我想问一下我的我的手机那个q开吗是多少服务密码 
为您服务 噢帮我查一下手机实名制是幺三七七四二幺 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 啊你好就想我想让你帮我查一个号码的那个机主 
您好很高兴为您服务 唉你好呀我想问一下就是我我就是这个手机号码这个身份证办的金币接然后名下有几个移动电话 
好很高兴为您服务喂你好我问一下这个手机号码的姓名是不是叫陈纪呃身份证号码报一下 嗯三四幺二三零九八三幺二二六三七幺 
您好很高兴服务 唉你好我是这个幺三九幺七二幺五二八的机主我的手机啊从昨天晚上你看是不是有那个一百多个未接电话 
哼 您好请讲 
很高兴为您服务 你好帮我查询一下本机实名登记的户名是叫袁袁了吗 
您好很高兴为您服务 唉小姐帮我查一下那个我手机密码 
您好很高兴服务你好华夏你我 你们这好像客户的手机实名制那个情况嗯嗯好 
您好很高兴为您服务 喂你好是这样的我有个号码麻烦你帮我查一下就是呃是公司公司名下的然后帮我看一下公司名下挂他是挂靠的是谁那个个人用户 
您好很高兴为您服务您好 银行的过实名制的一个核实手机号码是幺八六 
为您服务 唉你好请帮我看一下本机号码那个机主姓名是叫承德取 
您好很高兴为您服务你好我想问一下机主是叫张明吗本机对吧本机不是个人名字不是您不是个人名字是吧好好好谢谢啊不客气还有什么可以帮您办这个你好您好请问听得到吗 喂 
您好很高兴为您服务 哎你好我想想让你帮我查一个号码就是说我昨天晚上大概十点多钟打过来一个号码是江苏苏州的幺五幺的 
好很高兴服务 啊您好先生就是你帮我看一下我这个手机号码是幺三八幺六零的对吧然后 
您好很高兴为您服务 呃你好我这个手机那个服务密码是现在先充值一下 
就可以了 您好很高兴为您服务 
您好很高兴为您服务条手机实名认证手机幺八三 呃幺三七六四零七五九二三 
您好很高兴为您服务 唉你好请问一下我那个手机那个服务密码多少 
您好很高兴为您服务 哎你好我想查一下我手机号的那个呃服务服务密码是多少 
您好很高兴为您服务 呃您好这样的我是那个这边银行那边的就是我要验一下一个手机的实名号就是我报一下那个手机号和那个姓名身份证号能包您只要告诉我对 
您好很高兴为您服务对对您好很高兴为您服务服务密码是什么呢 本机号的服务密码是吧 
您好很高兴为您服务 呃你好请问一个移动客服啊 
您好兴您服务 哎我想问一下我这个那个另外一 
您好很高兴为您服务 唉我就想查一下我身份证名下有有几个号码有哪几个手机号码 
您好很高兴为您服务喂你好我想问请问一下本机机主是叫徐丹皮吗呃身份证号码报一下吧三幺零二二九幺九九零零幺零二三零二六对吧嗯对正确的还有什么可以帮您 没有了再见 
您好很高兴为您服务 唉你好 
您好很高兴为您服务唉你好我我这个密码是多少这个手机号密码是无法查询的 可以重新设置 
很高兴为您服务 哎你好我想我想问一下我这个号码能看的出的密码是多少 
您好很高兴为您服务 唉你好问一下我这个手机号码的服务密码是多少 
您好很高兴为您服务 唉您好你你能帮我查一下我这个手机这个咨询一下密码是多少 
您好兴为您服务您好 喂你好我那个我我想查一下我的那个服务密码服务密码记不得了 
很高兴为您服务 哎你好我想问一下就是我那个积分我积分我不是要换东西嘛他让我咨询那个客服密码什么意思啊 
很高兴为您服务 唉小姐你好就是我麻烦问一下我手机号是幺三六幺幺九九八六幺六的服务密码是多少 
您好很高兴为您服务 唉你好是这样子就是我这边有一个手机号然后想查询一下就是当时注册的是哪个人注册的 
您好很高兴为您服务您好 唉你好帮我查一下我来电的这个号码用户名是不是叫完全 
您好很高兴为您服务 唉先生你好我是赤峰路民路四百七十一弄十二号上网的用户我的wifi密码忘了 
您好很高兴为您服务你好你帮我查啊你帮我查一下这个这个我们这个服务密码是多少说这个手机的密码是多少密码自己设置的身份证号码知道吗密码是自己测嗯 对身份证号码知道吗 
您好兴您服务您好 唉你好那个积分里面的换掉然后他要用验证码然后数密码是什么密码 
您好很高兴为您服务 唉你好噢是这样的我刚刚在我的手机最好就弄了一个sim卡锁定然后我现在电话什么都打不出去要打幺零零八六然后问一个什么puk密码手机号码告诉我啊幺三九 
您好很高兴为您服务 你好我想核实一下这个手机号码的实名制 
您好很高兴为您服务 呃你好我手机服务密码多少帮我查询一下 
您好很高兴为您服务对 呃你帮我查一下我的手机是不是我给您的名字嗯嗯 
您好高兴为您服务 喂你好我想问一下我在网上那个积分兑换的时候它要有一个客服密码我不知道是什么都不记得有这个密码了 
您好很高兴为您服务 哎你好我想咨询一下我的那个要默认的幺三九邮箱密码是多少呀 
早上好很高兴为您服务你好 您好请说 
高兴为您服务您好 噢帮我看一下这个电话的实名制 
您好兴您服务您好唉你好这个密码属于是什么密码 就是要要要什么密码手机服务密码号 
为您服务 啊您好核查一下实名去嗯 
那行 您好很高兴为您服务 
您好很高兴为您服务喂你好你好 我想我能查查一下我那个宽带的账号和密码 
