你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
你好请说你好恩您说 哎帮帮我那个你这个手机现在是套餐是多少 呃您套餐您稍等我一下呃帮我查一下呃您好我这边电脑卡住了我这边查不到嗯就可能需要您麻烦您再打一个电话进来查一下好吗哦你套餐是八十八的我只能看到这个其他看不到了 不是八十八的 
您好请讲 喂你好 对 我问一下我这个手机有没有开通那个校讯通 
零六您好很高兴为您服务 呃你好我想问一下我这手机呃有没有办其他什么业务 嗯您是有没有开通其他收费业务是吗 对对对我好我看一下 
哦您好高兴您服务喂你好您好请讲我想了解一下我目前使用的那个套餐情况是怎么样的 目前这个卡用的是一个四十八的基础月租套餐 对它的 那也没看到您开什么呀 
您好请说 你帮我看一下我查有开通什么东西啊怎么那个钱用了这么多啊 好那您稍等我看一下您这个月消费我帮您看了一下您这里的话其他的业务都没开您话费用的比较大主要是自己手机拿去上网了我现在给您下发一个您自己的意见查询套餐使用情况的方式您可以随时打开这样就可以查到自己的流量使用情况了 我这个流量是有多少啊 
您好请说 你好帮我查一下我那个流量订购订订购了没有成功 嗯您这边订的三十块流量已经成功了可以用的 三十块移机是吗 
您好 您好 恩你好什么可以帮到您的不客气笔但是 哦稍等一下不好意思是你发给我买一个还它那这边有没多收的现在自动好我跟你跟我讲下 
你好 你好我有我手机上除了可以打电话还有什么东西啊 您这边是一个来电提醒三块钱嗯嗯阅读还有个六块彩铃还有个六块彩印三块 我这没有开的谁帮我开通 
嗯您好请说 诶帮我查下本机其他有什么业务啊 呃本机号码的话现在套餐是九块钱套餐除了这个九元套餐之外其他扣费业务的话就都没有了然后是有个来电提醒还有个咪咕音乐还有个彩印都是到期自动关就这些 来电提醒呃什么东西啊因为开始用完了 
您好很高兴为您服务 对这个你看我这卡什么套餐 呃您现在这张卡的话就是一个九块钱的优酷视频流量包月租来电提醒的话呢三块钱一个月有个彩印三块 呃总共多少钱请讲 
您好请说 哎喂您好诶帮我查一下我这里面都有什么套餐 这里面的话您就一个八元的固定费用跟来电提醒还有一个彩铃那其他我看一下一个单位的未见网嗯 呃你把那个彩铃给取消掉 
您好很高兴为您服务 查到了条查下我这张卡开通什么业务 您稍等一下感谢耐心等待这边查了一下您就一个八块钱的基本套餐没有其他业务 就基本套餐八月份没有开通过的分钟分钟有多少分钟打 
您好请说 好其他这边有订购那个三十元什么的帮我取消掉 好的马上为您查询 没 
您好很高兴为您服务 喂你好那个现在那个这个号码有没有开通什么业务 开通什么先生 开通什么业务啊 
您好请说 嗯哎你好我想问一下我这个手机号码它是这个月是说有变更一个套餐是吗到下个月生效的那个 呃对下个月变更的是一个三十八飞享套餐 我想问一下它那个套餐里面都有看是吧 
啊下午好请讲喂你好就是我现在想查一下我这个手机上面的套餐 啊您手机的话每天的话的一g流量可以在本地用 噢那个我这个通话也没有了 没有通话时间啊有啊您这早期办的有三十分钟国内通话 
您好请讲 喂您好我问我本机现在是什么套餐 您本机号码是吗您本机号码我帮您查看了一下目前的话是我们的这个神州行畅听卡 连接 
喂 你好很高兴为您服务您好 哎你好麻烦你帮我看下我这套餐除了以外还有什么增值业务开了帮我看一下 呃好我查询一下噢您好我查了有其他倒是没有开通就只有本身基本套餐和来电显示就没有开别的业务了 
好您好很高兴为您服务 我想问下我卡这个办理的有什么业务 稍等我马上为您查询您这张卡现在办理的是三十八套餐还有个来电提醒三块彩铃六块还有彩印三块 还有查询彩印 
噢您好请讲 喂你好帮我本机查一下什么套餐 恩好您用的是动感地带的十八块钱的套餐 动感地带十八的 
您好很高兴您服务 喂你好请帮我查一下我我我这个号码有什么套餐 可以的那我首先说下第一个本机办的是月租十八的套餐然后其次的话就是有个月十元的夜间流量另外还开了一个被被的一个九元的视频定向流量包 帮我取消掉那两个那那个夜间的跟跟那个具体具体的都不要对吧那就流量就不结转次月啊 
哦哦 您好请讲 的我问你啊我这一部手机有没有开通这个手机短信 我看一下稍等 
你好请说 诶你好麻烦你帮我查一下我现在诶我这个套餐原来是啊一百分钟送一百分钟的现在现在还还有吗 呃有的 还有还就还有两百分钟啊 
你好 诶你好你能帮我查一下我这是什么套餐吗 嗯流量王套餐一天一g的 一天一g那为什么我每天每个月好像都扣很多 
您好请讲 哎你好我想问一下我们现在是使用的什么套餐 现在是三十八元的套餐 那还有没有我家其他的什么说什么什么额外 
您好请讲 喂你好呃我想问帮我看一下那个帮我这个查看一下我好像便宜些营业厅办了个幺三八的套餐是啊 对 呃那个能取消吗 
呃您好很高兴您服务 你好帮我查一下我本机的那个流量上网流量关闭了没有 不能是吗我看一下已经关掉了啊好的谢谢不客气的还需要别的查询吗嗯没有了噢好祝您生活愉快再见 
很高兴为您服务 哎你好麻烦帮我查一下我这款手机有没有那种十块钱一g啊那种流量都可以加吗 十块钱一个g我们没有十块钱一个g的流量加油包啊 幺现在有时候什么样子的加油包可以 
您好请说 哎 您好请说 呃请问一下我那个有那个安心包的嘛噢 
嗯嗯嗯 你好需要什么帮助诶 帮我看一下那个我这个套餐改的是什么套餐啊 好稍等一下您下个月改的是三十八的这个新飞享套餐就三百分钟本地打全国电话一点五个g的省内流量还有来电显示 
您好请说 喂请问 您 我这手机有什么这个这个号码有什么业务吗给我查一下 
您好请讲 你好帮我查一下我这手机有什么业务套餐呢 您这个是十八块的套餐 十八块的套餐十八块里面有什么呀 
您好很高兴服务 呃您好 呃请说 呃就是我问一下我这个手机的流量套餐是多少啊 
您好请问什么可以帮助您 诶你好我想查一下我的流量套餐情况 流量套餐是吗您说剩余的是吗 呃再调低点 
您好请讲你好 你请讲我想请问一下昨天就说我办的那个九十九块钱那个宽带跟电话那个有没有办理成功吗 本机吗没有啊您现在是新飞享五十八噢 那麻烦你帮我改一下那个套餐是下个月生效是吧 
您好请讲你好 诶你好 诶请说 呃我想查一下我我的手机号码的那些都有什么套餐我都不清楚 
哎是您好请说 我想问一下我现在这手机是什么套餐 请稍等帮您查询套餐是飞享三十八元套餐 那我这套餐里面有什么 
您好请讲 喂你好 你好 那个我想问一下我不是开通了一个那个成新的那个四g流量包 
您好请说 哎你好我想问一下我我现在用的是什么套餐流量 您这张卡用的是那个八十八套餐流量提供三百兆另外开通一个五十块钱一个g的流量 呃五十块钱一个g的流量是那个活动是什么时候结束的 
您好很高兴为您服务 喂你好我那个我这个手机上有一个是动感地带的那个亲情套餐一定版的好像是 我看一下稍等祝您 套餐 
您好什么可以帮您 诶你好你帮我查一下我这个手机里面现在还有定什么信息 好的我帮您查您好我这边帮您查有收费的业务就是三十八元的这个基础套餐没有别的收费啊 噢噢噢那个以前有一个什么八块的是校讯通那个 
唉呀对 您好请讲 请你帮我查一下我这张卡有没有开通什么其他业务好的 您的套餐基本费三十八块钱那套餐以外我看一下套餐外没有多订其他服务您这个月费用是因为流量用完超出了产生的扣费 
您好很高兴为您服务 哎我问一下我这个不是十八块钱包月的吧是吧 对您现在是咱们飞享十八块钱的套餐没错那怎么短信一直发来 呃按照余额不足之后消费输不进去我交费什么意思了 
对您好请讲 噢你好我想问一下我的本手机都有什么套餐呐 好啊您稍等帮您查一下噢您好目前您的基本包的话是一百三十八块钱的套餐额外这边有一个两块钱的来电提醒还有一个两块钱的闲时通话优惠套餐还有一个是十块钱一个g的夜间流量然后平时有个家庭宽带还有个三块钱的手机彩印其他功能暂时就没有开通了 三块钱手机才有什么东西啊 
您好请问什么可以帮助您 喂你好我就想应该以后我这个消费也就干嘛帮我查一下这个开通什么东西昨天交的三十块钱三十块钱进去才有三十多块就是没打两个电话都取消取消取消十五块钱那么多 您这个十八元套餐主要是这个月打电话打的比较多就是分钟数打完之后还打了二十三块多的费用 一月份一百兆二十三块多啊 
您好很高兴为您服务 呃我想问一下我那个 的这么多宽带到什么时候到期宽带什么时候到期啊稍等嗯先生您这个月最后一个月了下个月就没了 这个活动就啊我 
您好请说 喂你好 呃您好 那个我那个四g的那个上网套餐嘛我上个月办了一个全家统吗 
您好您请说 呃你帮我查一下我现在这个套餐是多少流量有多少 好的您稍等您好您这个是新飞享的八十八套餐每个月是五个g的省内流量 噢那通话了 
你好很高兴为您服务 你好嗯就是帮我查一下我这个号码嗯里面有没有开通什么那种数据流量的 没有 都没有是吗 
您好有什么可以帮助您 喂你好 嗯您好嗯嗯 你帮我查一下我这手机有什么套餐啊 
二十您好什么帮助您 嗯请问一下我这个这个套餐那个有多少 套餐是五十您下个月是八十八套餐这个月是五十兆 然人工目前有多少 
很高兴晚上好请讲 喂你好那个我那个下个月是不是换了一个那个套餐帮我查一下 我看一下噢您稍等噢没错您下个月是有改了这个新飞享的八十八套餐 呃把那个取消掉吧因为我不在那个省内的流量用不了然后我就帮您 
您好有什么可以帮您 你好请问下目前我的套餐内容就说订几个套餐 嗯您现在是八十八元的套餐然后是满五个g的流量呃您是另外办理一个四十元上呃四十呃呃五五十元的上网流量套餐这个要不要帮您取消掉吗 肯定要取消了 
您好请讲您不要经常停机噢 您好 诶你好你把我这张卡才要属于哪种套餐的 套餐是最低月租八块的那种 
您好请问什么可以帮您 呃您好我想问一下我这个手机不是有那个流量共享啊 啊 呃你帮我查一下那两个号码这个月是用了多少流量 
您好很高兴为您服务 哎你好诶我想问一下 呃我这个卡它是什么什么什么套餐吗七十九套餐噢七十九套餐对噢七十九套餐然后 送五百兆是吧 
嗯您好 诶你好你帮我查一下我这个手机呃还有没有别的套餐我就一个套餐还有没有别的 好请稍等一下嗯有的除了g一百三十八套餐发现您这边还订了一个五十元流量包一下如果不需要的我可以帮您取消的 噢这个帮我取消吧 
您好您好请讲 你帮我看下我套餐里面是有一个什么五十元那个流量能不能取消掉 吧要您稍等噢我查一下呃这个可以啊活动就到这个月了那我帮您登记月底关那流量只限这个月用不累积下个月噢 噢可以帮我包 
您好请说 诶你好帮我查一下我本机噢除了基本套餐有没有额外开通了什么业务啊 是其他收费的一些包月业务对吗 哎对有没有开通 
昨天晚上五好好像嗯您说我现在这是什么套餐 呃您本机号码现在用的是一个五十八块钱的套餐 是有多少兆流量 一百五十兆跟一百五十分钟啦 
您好请讲 诶你好你帮我查一下我现在这个号码是什么套餐啊 这个是一个动感地带的一个网聊套餐十二块钱 十六块钱是吧 
请 您好很高兴为您服务 噢你帮我查一下我这手机有什么业务 嗯嗯好的诶您好所以您这边手机就是基本的套餐还有那个还有那个来电显示没有其他的另外就是流量平常流量用的比较多好像流量费扣的多 
你好什么可以帮您 请问一下我这部手机老号码是什么套餐呢 您是三十八块钱的全球通套餐 三十八块钱那个怎么到现在有四用到四十九块多嘞 
你好什么可以帮您 你好我这张卡什么时候给我送到全球通三十元 您本机吗 个 
您好请讲喂你好诶请讲 嗯我想问一下我这个手机有什么有什么业务吗 呃您现在的话基本套餐是那个五十八的那嗯嗯我看一下啊除了基本套餐五十八块钱之外的话有一个三十块钱五百兆的流量套餐那这三十块流量是送的到期的话自动关现在没有扣钱的那就说您消费业务就五十八的 噢 
嗯好您好很高兴为您服务 诶你好麻烦你问一下我有没有开通那个什么国际漫游 哦好请稍等 客服 
很高兴你好请说对 哎你好我这个是不是短信有一个什么和校园的这个短信就是你把我手机上呃你帮我查看一下这个业务解决这个 月加一个是和教育沟通包跟一个名师微课堂 和校园的是不是那个新乡中心小学的是不是啊 
嗯拜拜您好很高兴为您服务 帮我查一下我现在这个号码开通什么流量套餐 我看一下 可以升级的 
您好请说 你好看看这个本机有什么套餐 您现在这个是八块钱的月租套餐那除了这个套餐之外没有申请其他业务 啊别的业务都没有是吧 
您好什么帮您哎你好诶我昨天晚上申请的那个呃十元六g的 二十元四g那个流量包有没有生效这个 呃加油包有开通就十块钱一百兆已经有开通好了可以使用了费十八十块钱不是四g吗呃不是啊他是我明天叫做四g流量加油包十块钱里面只有一百兆五十二十元一百兆诶对加油包都是十块钱一百兆的 噢那二十块是多少 
见 等一下您说请讲先生那个我想问一下我这个有那个短信来电提醒的那个业务是吧 嗯来电提醒吗我看一下 就是短信来电提醒嘛因为我今天没接到电话他会提醒吗 
您好请讲喂你好你好 你好我想问一下我现在的套餐是什么 您现在九十九套餐嗯 是九十九套餐那是多少多少流量 
您好请讲 呃您好你帮我查一下我现在套餐是什么情况 您是是四g飞享十八块钱的套餐然后还开了一个十块钱一百兆的上网流量包 噢现在能不能帮我把那个十块钱流量包那个那个给我取消掉 
你好 你好你好这样子帮我查一下这个我流量套餐都有哪一些 嗯您这张号码您的基本套餐五十八本身每个月有三个g的流量 那个 
您好请讲 你好你帮我查一下我这个电话号码它里面有什么增值业务啊 呃增值业务 对啊上个月的配置扣了几十块钱啊 
您好请讲 哎你好这边你好我这个手机那个套餐有的都有什么套餐啊 您现在用的是一个八十八的套餐 对二还有有什么业务有没有 
您好请讲 喂诶我这个手机幺八三的吗那个流量是我现在是什么套餐吗奇怪因为我们是集团恩 您这个号码的是一百八十八的套餐这个套餐里面的话包的两千四百分钟还有两个g全国流量还有三十八个g的省内流量 诶那我现在有超标吗奇怪我接到一个短信说什么 
您好高兴您服务 啊我想咨询一下我现在有没有什么其他的套餐因为我因为我这个套餐我觉得很不好啊呃 有有是有其他套餐优惠可是您这边更改不了啊为什么因为您这边原先有个宽带要更改的话只能到营业厅更改 噢要到营业厅就可以更改 
您好请讲 喂问一下我那个宽带还有还有多久才到期啊 宽带的话呢这个是两年的时间我查了一下到一八年的十月一号的时候到期十月一号到期二零一八年十月一号对还有什么问题吗 额啊我二零啊好吧好吧就这样 
你好请讲 呃您好请帮我那个无线网的那个分钟数也关了 无线网的分钟数请稍等我帮您查一下 哎行 
您好很高兴为您服务 哎你好我想麻烦你帮我查一下这个我这个电话这个月的那个套餐是怎么那个套餐啊 我看一下套餐的话您这个月是十八元套餐的基本月租一个月十八块钱的它是除了十八以外的话就一个家庭网的三块钱还有个集团网呃正常噢其他没什么异常收费的都正常的还有个校讯通八块钱校讯通就这么多 还有一个什么那个乡镇那个什么那个网能不能帮我取消掉啦啊可以啊您这个深圳网就是那个 
您好请讲 喂你好我这个这个月有开通什么服务啊 呃目前帮您查询有个手机保障您只是这个吧这边是您 对啊那个我没开通它怎么会开通了呢 
喂您好请讲 嗯请帮我查一下这跟 它办理了哪些业务嗯好的您稍等我帮您看一下 七二就是 
你好 帮我查一下本机有其他扣费没有 我看这边显示是您的十八元套餐额外的没有 
您好很高兴为您服务 喂你好你帮我查一下这个本机里面有什么费用啊然后话费那么多啊 您稍等我看一下您这本机的话您是一个十八块钱的套餐然后我给您查了一下您除了十八块钱的套餐以外呢这边没有其他的收费业务只剩下一个三块钱的家庭网呀 五十块钱什么呢 
你好您好请说 喂你好呃你好诶我想咨询下我现在就是呃宽带套餐吧 啊 然后想改套餐现 
您好请讲 个月送过来您好请讲诶你好你帮我诶我这是什么套餐八十八的是吗那样的 二十八 知道密码稍等一下噢 
再见你好请说 诶你好我请问下我这个宽带不是到期了这个月 我看一下您稍等宽带您这个是家庭网的套餐啊和家庭套餐这个套餐本身就有送宽带的 啊 
您好高兴您服务 诶我想问一下就是我上次开了那个三十块钱的流量包是不是没取消啊 帮您看一下嗯嗯对如果不要就先给您取消掉月底前使用呃下个月就没有了好吗哎 你帮我取消一下好吧好 
您好请讲 你帮我刚才刚才看一下我那个就叫他流量吧十块没买你帮我看一下嗯 嗯请稍等没有十块一百兆加油包有开通了可以用了 噢刚刚才已经刚刚开通那个 
您好请说 喂你好那个我这张卡不是那个那个什么九元套餐的卡吗 嗯嗯对是的然后呢 然后就是它不是有个什么每天一元无百兆流量那个还是天开就开始自己生效了还是要去开通啊 
请说 喂你好诶你好呃我问一下就是这个手机上现在有多少的套餐有现在这个这这个月的有多少业务他那边 没收费的话目前是三十八一个月的套餐其他的话给您看过去 就没有了八其他套餐都取消掉只有一个三十八套餐可以吗 
您好很高兴为您服务 喂你好请问一下就是现在现在我手机现在你们那个有就是说现在订的是什么套餐啊你们那边能帮我查一下吗 这张卡是吧呃对对张卡现在是五十八元套餐然后下个月换成新飞享八十八了新飞享新飞享八十八对 噢就是说我这个就是现在费用的有电话线就是那个八十八的 
您好请讲 哎你好请帮我查一下这个本机它有来电提醒的这个功能吗哦就有没有办这个来电提醒的业务 噢它这边有办理的 有办理啊但是它它有办理的话比如说还有他就提醒多没有设置多 
您好请说 你好我想问一下我这个手机上现在是什么套餐 手机套餐是吧您稍等一下我给您查一下理解您好先生这个现在办的是五十八的全球通飞享套餐五百兆的国内流量然后一百分钟本地打呃就是全国通话加个来电显示一个月五十八 噢啊这个有什么套餐就是跟我这个价钱差不多得有那种流量多一点的吗 
下午好请讲 你好你帮我看一下我除了套餐以外还有什么订阅的吗 呃您的套餐的话就是一个五八套餐另外的话呢还有一个彩铃六块噢还有一个是吗和娱乐包两块这两个没什么用我帮您取消一下呗 好可以 
您好您说 诶我想查一下我这个号码又把那些什么业务啊 您幺八八套餐您额外有一个来电提醒两块钱还有五十块钱一个g的流量包就这些 五五十块钱一个g的流量包帮我取消掉 
幺幺您好很高兴为您服务 噢行行行 你好好 啊我我请问一下请问一下噢我这个手我这个号码有没有办那个港澳台的那个啊优惠套餐啦 
您好请说 你好我这个卡 嗯 是什么套餐了 
您好请说您好 哎你好 诶您好请问 麻烦麻烦你一下那我现帮我查一下我现在用的是哪一种套餐啊 
您好您请说 你好帮我本机查询我本机是不是连那个呃上网功能也不能那个短信功能也关了吗 呃对上网功能是关着的那短信功能没有关正常开着 那我发短信都发不了 
您好请讲 诶麻麻烦你就是帮我查一下我我这个是二八套餐另外还没什么交什么钱啊什么费用我看看 噢您这个是属于一个二十八元套餐里面的话没有其他增值业务只有一个二十八元套餐 噢那刚才那个店店铺那个人告诉我他讲什么他可能忽悠我可能他讲怎么还有什么交一百块钱流量费不要没有啊没有一百块钱的流量费啊只有二十八块嘛一个月扣噢 
您好您说 呃你好帮我查了一下就是我想问一下我这边因为我手机有办了一个ip的一个免流量也流量套餐吗 呃爱奇艺的这个是四g流量包嘛是吧 是的我不知道我有没有办成功 
的帮助吗你好 哎你好啊我想查一下宽带的到期情况 宽带是吗那您有他的宽带账号跟密码吗 噢我也我也号号码多少才状态是幺三八 
嗯嗯嗯嗯嗯嗯你好 我想问一下我现在这个是什么套餐呐 请您稍等一下现在是八十八的商旅套餐 呃是什么内容啊 
您好请问什么可以帮助您 啊麻烦你帮我查一下这个卡到底还有什么要扣费吗我不是包月嘛然后还有分钟送分钟送呢他还没怎么怎么打呀每天要扣钱嘞 它每天扣的是之前不是有办了一个宽带的活动买一年送一年的活动吗就查一个费用 噢那还要扣吗不是说买你说你然后就是说把费用返还过来用来抵扣的 
没有 嗯您好很高兴为您服务 可以帮我这张卡的业务是什么 您用的是五十块钱的流量卡套餐 
您好请讲 你的意思二二零五 你好 大学生你好诶我这个手机里面套餐嗯又好像什么什么彩铃啊什么之类的帮我看一下你有开那个要的额外的 
您好请讲 你好我现在好像是有一个套餐是五十的五十元一个月的是不是在现在费用那个套餐然后我现在要改要取消了 改多少的呀 呃我这边移动那边可以规定还是要跟你点 
诶您好请说 喂你好诶你帮我查一下就是我这个手机那个现在的套餐是怎么样的 您这个是八块钱的套餐了 它里面包含的 
您好很高兴为您服务 呃请帮我查询一下那个呃里面有没有想弄那个什么什么业务啊 噢好的请稍等我查一下目前就一个基本套餐三十八块钱还有两块钱来电提醒 其他没有了噢三十八套餐的那个弄掉去吧 
您好请讲 喂您好诶你好你帮我查一下这个宽带停了没有 宽带停掉没有是吗 嗯号码报给你 
您好请讲 诶你好诶麻烦你帮我看下我这手机有什么其他多余的收费的业务啊 好的给您查询到您套餐基本费三十八元钱的其他时候有一个九块钱的手机保障服务费用这个您要取消吗 噢给我取消掉 
您好很高兴为您服务 诶请问下我这个里面还有什么费用啊一个月是不是只有十八块钱 呃十八块钱套餐没错就这一个其他的我看一下呃都关了送的业务专线彩铃呢彩铃的来电提醒的这些都关了就只有十八套餐 这个套餐啊 
恩好 您好请讲 诶你好你看我有什么我查我那个预约做电脑的套餐 呃您是说有预约什么 
你好 你好我这个电话这个是什么套餐呐现在 您现在用的是我们的那种三十八套餐三百分钟国内通话流量一点五个g省内流量我们还有额外送您一百分钟国内通话送到明年二月一号那我们现在数据现在够用吗你看一下流量啊我看一下 嗯嗯 
你好早上好 喂你好 嗯您说 诶我想问一下我这边有没有我这个号码有没有开通那个流量加油包 
您好请讲 哼呃喂你好我想问一下呃我现在办的是四十九套呃四十八套餐是吧 嗯嗯 呃那我想问一下就是如果升级为六十八套餐是可以校园无限流量吗 
嗯没您好请说 喂你好 哎你好 谢谢手机号码有什么业务没用的那需要的把它关掉一下 
你好中午好 诶你好请问一下我不是有那个校园那个套餐吗 校园套餐我看一下不是没有啊您现在用的是三十八块钱套餐不是校园的 噢我我我用用户卡打电话哦以后 
您好有什么帮到您的吗 喂你好诶帮我查一下哎我这个手机这个什么套餐呢 三十八块钱的就是在安溪拨打电话有一百分钟流量有五百兆这个够短信也发一份给您可以可以看一下三十八块钱一个月套餐 不要我现在只能给他改一下我看 
您好请讲 诶现在那个厦漳泉那个开通没有都没有反正接听显示还有还有那个赠话费的问题怎么算啊 现在当前开的话同城包就是你呃接电接打电话就跟在本地价格是一样的然后您这有划分服务区那就是在呃漳州或者泉州打算服务区外的收费笑了接是不用钱的呀 那还不成两城一家噢那 
您好请讲 呃你好呃你帮我查一下我本手机有没有开通什么港澳查询 港澳台漫游吗 呃对 
嗯你好 喂 诶请说 我想问一下我这个电话有没有开通一个什么自动回复短信的功能 
您好 嗯那请问一下我这里面这个什么套餐我觉得我没怎么打电话一个月怎么会那么多钱 好您稍等一下我帮您看一下咱们都有哪些收费类的业务 不 
高兴为您服务 喂你好我这部手机的你看下我那个流量上网的功能有没有开通啊 我看一下稍等一下噢您本机号码上网功能有开通了 有开通吗那我刚刚开通了什么没办法上网 
您好请讲零行吧哎你好有什么可以帮您 嗯你好你帮我查一下我这个手机里面是不是有一天有加那个就行网有加入那个信息啊 我给您看一下 好吗 
您好什帮助您 麻烦你帮帮我查一下我现在这个套餐是什么套餐啊 噢套餐里就是那个畅聊卡月租二十八块钱的这一款的 噢那我还有没有开通什么别的 
很高兴为您服务您好很高兴为您服务 你帮我那个查一下我这个有什么套餐的 您现在是五十元的流量卡套餐里面有两g流量还有个来电显示打电话是两毛钱一分钟的下个月改成了八十八的八十八元一千两百分钟打电话我看一下嗯然后流量是有五g流量的 噢我觉得那个 
您好请讲 诶喂你好能不能帮我查一下这个这个手机号的套餐哈还有有没有除了套餐之外还有没有其他的定定制 套餐之外有一个来电提醒还有一个彩印还有个彩铃其他的就没有了再见 其他都没有了吗 
您好请说您好 我想问一下我这个卡里面办理了哪些业务啊 噢您这边就是我们动感地带三十八块钱套餐三十八 这个不是就是说有个三十元五百兆的那个流量啊 
你好请讲您好您好可以听到吗 喂你好我那个十元那个一呃一百兆的那个流量费已经返呃它开通了没有啊 我帮您看一下已经开通成功了呀可以用了一百兆可以用啊 那一一百用那它怎么我那个幺零零八六打进去的时候他没有说我一百分钟有用了 
您好请说 你好我想问一下我现在这个月用的那个增值服务是什么电话要扣我三块钱的 您稍等我看一下噢来电提醒 来电提醒那还有一个是那个流量那个那个什么套餐外九块九吧我我这没有办过而且我没有超啊为什么会有另外有九块九八呢 
就是 您好请讲 喂你好我想请问一下这个手机号码现在用的套餐是哪些 啊本机的话查询是我们的三十八元套餐一百分钟流量五百兆这样子的 
您好请说 喂你好我帮我查一下我这个什么套餐 我这边帮您看了一下您这张卡就三十八块钱套餐一百分钟本地拨打国内电话分钟数五百兆流量还有就是宽带还有一个五十块钱流量套餐两块钱来电提醒 那你帮我那个三十八的套餐有一个然后两块钱的那个来电显示有一个其他都帮我取消掉可以吗 
您好请讲 喂你好刚刚我这是老人老人家用的手机办什么套餐啊什么套餐都不要就带就打打电话接接电话是 嗯它下个月改了一个五十八套餐那就是说五十八不要改了是吗 不要五十八块钱他有来有那么多电话不客气 
您好什么可以帮您 喂你好你好我我想查一下我我现在这个是什么套餐啊 八十八块钱的 八十八块钱现在是什么什么个情况 
啊您好请说 喂你好呃你帮我查一下我这个手机里面开通了几集胜什么什么业务啊 哎噢好的我看一下 嗯嗯 
呃您好请说 啊行你好啊嗯啊我我我现在去国外了帮我流量关了吗 流量要取消是吗我稍等一下哈 啊那关掉 
您好请讲 喂你好 你好 卡我现在是开通的订的业务是多少 
本您好请讲 哎问一下我这个我这个号码有没有什么订购什么业务啊捆绑 好的马上帮您确认请您稍等呃您现在来电的这个号码就是您自己本身的月租费每个月是收取您一百二十八块钱除了这个以外的话其他需要您个人收取 项目费用的业务暂时没有订没有捆绑什么东西吧 
您好请说 是什么原因我上次有咨询了一个就是我这个套餐我这个一六套餐想转成g套餐那这个现在什么结果 您这边我帮您看一下您这边下个月改成那个二零一七版的八十八套餐下个月生效了 啊下个月可以生效是吧 
您好很高兴为您服务 喂 您好请讲 那个你帮我看一下我这个流量是不是有开通那个三十元的那个流量套餐啊啊没错那你能帮我取消吗现在可以取消了可以了 
您好请讲 诶你好我现在要去香港那边我现在手机的那个卡号的那个国际漫游开通了吧 我看一下噢您稍等 二 
您好很高兴为您服务 你帮我查询一下我这个号码有没有那个送那个 送宽带您稍等我看一下 嗯 
您好请讲 你好帮我看一下我有一个五十块钱的流量套餐费是不是啊 呃流量活动啊它说到明年二月一号会自动关掉实际只扣到十块每个月 现在不能取消 
你好请问什么可以帮助你帮我看下我那个什么套餐 您是三十八块钱的呃叫飞享套餐 还有其他业务吗如果那个帮我关掉好的系统给您查询其他您本机目前没有别的收费了有个家庭网不好意思怎么知道现在 
您好请讲哎喂你好 就是你帮我你帮我看一下我现在手机办理的是什么套餐刚才我有超过一条短信嗯 那您稍等一下 嗯嗯 
你好请讲 你好我这边我想查一下我这个都有什么业务 噢您本地的话我帮您看了一下就基本的飞享八八套餐八十八块钱一个月另外的话有来电提醒彩铃没有收费的业务我帮您看了一下就这三个 那个彩铃不要了吧 
您好很高兴为您服务 啊喂你好 恩你好 请问一下我这个号码有没有开通什么业务 
中午好请讲 哎你好就是我这上面事情不是是不是有开通那个厦门有具体已经公司那个有免费五百分钟打打电话那一个吗 呃有 他这个一个月去一个月要扣钱吗 
您好请说 你好你帮我看下我这边也没有办了一张那个副卡八元卡的 您帮他付费的是吗 对 
您好很高兴为您服务 我问一下那个我这个本机里面那个有一个有一个有一个什么业务那个大世界什么那个会员什么那个有没打集团业务的 我看一下存还给我妈又又又又跟那个 嗯 
服务其他什么可以帮到您咱们 心包帮我查一下我这个是不是有另外有五十元的流量包 但是有另外一个五十块流量包您看有没有需要不需要可以把它关闭掉 噢请您帮我把他关关掉一下吧 
您好请说听到诶您好 诶我我上个月那个有什么套餐你帮我查一下 完之后它目前是有开通一个就基本月租八十八十八套餐以外有开通一个手机动漫六块有开通一个手机动漫六块还有一个手机彩铃手机阅读跟彩印的服务这些您需要给您关闭掉吗 您先给我把那个手机彩印等一下然后那个问题啊别的不要了 
您好请讲 诶你好你好我这手机你不是帮我办那个五十八元的套餐吗怎么昨天信息发的那个流量咯用完了 有五十八块钱套餐是下个月一号才生效 它不是这个月算了 
哎你好诶您好很高兴您服务您好 哎你好我现在这个套餐是三十八块套餐对吧 呃是的没错对三十八的 哎那你先帮我现在帮我改了十八块五十八的套餐好吧 
为您服务喂你好哎能不能帮我查询一下我这呃就是我这个号码啊它现在还有什么套餐吗 嗯嗯现在用的这个是十八套餐嘞 十八元套餐的吗那可不可以下个月开始全部帮我取消呢 恩他这个套餐每个号码都要有的你提交的号码就取消掉了 
您好很高兴为您服务 喂你好帮我查询一下本机号码有开通什么业务吗 恩好的您稍等我帮您马上查一下您这个是十八元套餐然后有一个来电提醒三块钱嗯还有一个是彩铃幺二五八零会员包还有彩印这些业务其他就没有了 那个彩印和那个什么会员包可以帮我取消吗 
