诶你好你帮我查一下我本机号码 幺五零五九幺六四九幺六 好谢谢啊不客气祝您愉快再见 
您好很高兴为您服务 查一下我这个密码 您需要多少就是多少好嘛诶好那您看还其他方面需要帮助的吗 
您好请说 噢那个号码忘了是跟本机捆绑的吗 嗯可以好 
嗯请帮我查一下这个是还是谁的名下 噢 噢不用 
诶我前段时间有做一个过户吗 然后呢因为我们现在公司对我们就是说因为我以前的话就用别人身份证申请的然后我过了或然后现在要我们打一个账单出来然后作为我们的那个报销电话费我想一下那个我以前的那个账单能不能给我一份啊就是三七八九呃 有给我打电话呢我我估计因为在路上 
诶请问一下我的手机的密码是多少啊 啊你帮我屏蔽设置有 嗯嗯你那边不能用啊 
哎 呃这个本地哈这个宽带密码是多少 噢 
喂您好呃女士你好你帮我查询一下那个家庭网里面有几个号码呀 流量款处理呢还是 才五个那我昨天晚上那个发那个信息过去加再加收费一次都不行是吧 
哎你好我想查一下我忘记我的服务密码了 你那边不能直接帮我弄吗 哎 
哎我那个手机那个密码多少是不是啊 身份证号码我知道 对啊 
诶你好刚才我接到的电话是八八二五零五六五 呃它是移动公司的吗 呃我不相信他但是问题在哪里呢他怎么会知道我一个月电话费多少呢还知道我用的是什么套餐 
就是我想查那个看一下自己的服务密码放假 啊办不是那不能直接查啊 噢那我要开业务呃客户 
哎你好那个麻烦你帮我查询下我这个手机号的话是绑定谁的身份证 噢能不能查到这是是谁的那个名字都不够查得到我们都看不到因为这些都是隐私噢噢先生还有其他可以帮您呃不用那应该如果要查的话要到营业厅带身份证到营业厅噢好好好好就想查一下我都忘记了用不用等等 
喂您好我那个客服密码多少你可以改一点啊 嗯 嗯去联系的 
诶你好我想问一下我这个手机还就是初始密码我也忘记了呀 嗯对那我那边就是这个手机是已经通过实名登记的对吧 哦请问您的可以 
哎你好因为我我我想查询一下我那个宽带的密码忘记了 噢你这边不能查查到我现在那个你们嗯 它只能通知是吧 
按嗯那个那个本机号码帮我查一下 啊对对 
诶我问一下那个我想问一下这个电话卡是三g还是四g的 噢那为什么有时候啊今天看到是上去 它显示是群上去啊 
喂那个我那个服务密码是多少 给我吧 没有 
诶你好那个嗯就是那个什么呢 我想问一下它就这边呃就是我这这个卡是什么说这个归属地是哪里的 那我开通一移动无限流量那是在三明市使用还是游戏啊 
喂你好那个我这个我这个卡是新买的那我我他说要密码我上微信它说要密码我不知道密码是多少啊怎么办 不是我是要上微信但是那个微信输入手机号然后还要一个密码这个手机号的密码是什么密码了 在厦门呢 
你好我的手机服务密码是多少 忘了 g的 
麻烦你帮我查一下我这手机的号码是多少 六零四四啊 六九零 
你好帮我查一下本机号码是多少 诶你能不能发信息给我一下 
诶你好噢我这边想公司做测试的你帮我看一下我这个是不是三星的 嗯嗯呃你看一下对你是不是三星的那个对的呀 ok谢谢啊 
请问一下我本机的那个服务密码是什么知道了 语音 知道 
那麻烦你可以帮我查一下我那个宽带的账号跟那个密码我这个网络有问题 对就我这个手机啊 
喂你好哎你说一下我手机的服务密码呢 我要看一下多少 对 
您好有什么可以帮您查一下手机号码是多少 可以 
移动那个网络电视那个机顶盒他讲那个用户密码是不是我的手机账号 噢可以可以你帮我设置一个 服务密码是零零六幺二三 
喂你好我想查询一下我本机的什么呃什么咪服务密码是什么啊wifi都忘记 我能不能查查原来的 哦 
等下我这个服务密码是多少啊 它现在对 对 
诶你好它这张机主是黄国盛还有困难发呢 啊 噢看不到是不是噢好好好谢谢噢不客气 
喂你好我想查一个号码的那个呃联系那那个那个绑定的付费号码 不知道要办的是 五九零六 
请问我那个手机号码这个是什么这这个是本机号码嘛是不是是那个幺八八五九九 呃那如果我要查那个幺八八五九九零的号码那个可以查吗 密码这个密码我呢密码我不知道 
嗯请问一下我这个因为我现在本人是在那个深圳厦门这张卡是那个福建厦门的吗我现在看一下对然后就说我这边的流量我我可以用嘛就是说要 有没有就是说呃要收费现在噢 我我现在是在深圳这个是吧 
喂你好 啊能不能帮我查一下我这个那个呃有线电呃那我那个电视那个那个的用户名跟密码 对呀用户名应该是是这张卡的那个对然后密码呢 
诶请问一下我这个移动号码怎么 啊 可以帮我查一下那个我的服务密码 
你好你好多少 对 呃对 
喂您好我这手机的服务密码忘记了你帮我查一下是多少 过去啊 好可以 
嗯哼 哎你好我想问一下本机绑定的那个宽带账号跟密码你能发一个给我吗 嗯嗯 
那怎么我的我那是什么卡现在还是是银卡客户还是什么时候 那我原来原来是什么银行客户那个什么区别 那为什么才欠六毛钱就给我停掉 
啊您好我想问一下我这张卡是动感地带的还是全球通的是这么差怎么看的 那我知道这个它是属于动感地带还是那个 全球通的旁 
您好你说呃我是是这样子的我这卡现在是在福建那边嘛我这是全球通还是什么情况 我现在是在福建啊我明天就要去诶去江苏然后去安徽然后要去 兆就是我现如果我去外省的话就是说有一百分钟打电话免费的噢出外省点 
噢喂诶你好呃我想那个知道我这个手机的服务密码是多少 哦没有 
喂你好帮我查一下我这个手机号码的服务密码是多少 g的 喂你好 
哎你好 装宽带装了就是我那个电视现在就是呃被小孩子按了把那个账号跟密码退出来了我现在忘记掉密码是多少我都不知道了现在是登不进去 宽带可以用这个电 
你好麻烦你帮我查一下我手机密码是多少 呃改什么幺零零八六 他星号键加一号键四号键 
您好很高兴为您服务唉你好就是我在我网上营业厅兑换那个积分啊后面它说什么输入客服密码再 身份证号码知道哇呃身份证号码知道的 呃好像不要挂机家庭 
你好你帮我查个号码对吧我的另外一个号码幺五三个零二二三幺四八 就是这个手机号码对是我儿子的对吧 就他现在停机我现在充话费了半天都不附近 
唉你好是这样子的我的手机出了点呢然后的话呢等我再登录的时候呢他就一直让我输入那个pin码查一下这个片满的换的是那个咱们移动卡上面这种副卡的密码对吧 呃好像没有您稍等一下就一二三四是吗 但是我用完之后它还是没反应 
唉喂你好 帮我查一下这个手机号的服务密码是多少 噢不是这个号码我给你说一个号码吧吧 
哎我想问一下我这个手机号码的密码多少兆怎么查 啊那那那我想想找回这个密码是多少 噢好 
你好我想问一下我那个真的身份证名下有多少时候扣电话多少个号码我想把它核实了一下 噢好好好你帮我查一下把那个幺五二 二幺六六嗯嗯三八四八 
你好刚才你们打过去打我电话吗 就刚才 提供这些东西噢对 
喂你好 那个我想查一下服务密码 可以重新设置密码您不要挂机稍后噢操作我帮您转过去您不要挂机稍等好的 
唉你好 我现在你你们能不能帮我找一下我现在打过你的这个手机号码是多少 哎不是我这个号码又不常用所以现在因为欠费了我要我 
喂你好 那个我手机的服务密码是多少 呃我自己充好我知道知道 
唉你好麻烦你帮我看一下我这个号码是多少 那你告诉我就停啦 好麻烦呢幺八八 
喂你好请问我这个是不是四g的 这四g卡是吧 喂这张卡现在不是那个我看我冲突然后现在不是说话费是多少兆流量三百也是有这个活动卡这边吗 
喂你好 我想问一下那个客服密码我就是那个积分兑换咯嗯 诶 
吧 呃全新华身份证号码三幺零幺幺幺幺九六三零五零五零零五五 
哎你好我们这边是银行嘛然后客户到我这边来开卡我核实一下他这个手机号是不是本人的好的 身份证号是三幺零幺幺二幺九八九零五零二 噢嗯 
喂你你你你能告诉我那个我的服务密码是多少吗那个不知道 对 
唉喂你好哎我想咨询一下我这个手机号的那个客服密码是多少 可以重新设置的 好的好的 
喂你好我是在官网上兑换的积分啊然后他说输入客服密码我客服密码 
唉你好我服务密码忘啦你帮我看一下这个户主是不是叫刘我 啊那个我服务密码忘忘了 幺零六三幺零 
唉你好我办了一个就是你们的宽带不是送一个固定电话给我的吗我现在想了我这个固定电话的明细app上那个掌上营业厅好像看不到固定电话能联系啊对用固定电话打进打出的那个号码 噢那你知道怎么能查到吗 网上营业厅只能登录手机号码然后只能看到手机的通话联系但是没有看到固定电话 
你好我想请问一下本机号码是实名认证的吗 可以帮我核对一下姓名吗 唉对的 
呃您好刚才接到你们一个电话说什么实名制登记啊因为是有这么回事去 噢幺三九 幺六五三 
喂你好我刚才在中国移动那我这个手机号码现在转这个幺九八了你看看你那边确认一下是不是在杨小芳名下 而且这个本机的 啊 
唉喂你好啊我想查询一下一个不是我本地是一个其他的号码你能帮我查一下吗 呃发一下我想问一下好吗 呃幺五二二五幺六七八八六四零 
唉你好那个先生我想查一下我的号码嗯嗯 噢不是这个号码我就我自己用的那个号码幺三九 幺六六 
喂 我想问一下我这个手机号码那个移动号码密码 跟我告诉我一下好吗 
你好我这边这个电话号码我的那个客服密码是多少啊 
噢您好很高兴为您服务你好你帮我看一下我手机的手机号的那个就改去改那个套餐那个密码怎么设置的 身份证号码二三零七幺幺零八 一九九一 
您好很高兴为您服务唉你好是这样有电子信箱嘛麻烦 呃我想那个呃知道我那个最近的有一个通话记录一个号码那个你这里可以帮我看一下吧 唉对对对 
哎你好我想看一下我的 对 噢行行幺三六 
嗯行就是你好我就想问一下我这边的话就是我这个手机号码绑定的那个固定电话的号码是多少 啊对的 呃四幺二七二四幺久久幺零五零九五一三x 
唉你好帮我查询的号码 幺三九一八二四八零零七 啊有的 
你好小姐就是现在不是那个发了一个信息要怎么开发票提供纳税人识别号麻烦你帮我查一下上海正品贸易有限公司那个开的发票是 
我现在维修我这个现在这个卡是本地上海卡吗呃 是不是上海移动不是上海移动卡吗 那你给我这卡怎么不对呀怎么打是多少怎么那个业务他上海的话费查不出来的 
唉你好你帮我查一下我这个手机号张卡是幺五零零零六三四幺八那个谢谢对是不是还不是四g的卡呀 那能帮我升级吗 在上海 
喂您好这里是银行的我这边客户要办卡我需要做身份证认证 喂 嗯手机号报一下幺八七零零幺七七号我去上三号窗口八八二六七 
喂您好帮我查个手机号码的姓名叫啊 手机号码是幺幺三六七幺七幺九四六幺幺五 呃许许国钱 
哎你好我想问一下我这个宽带账号是多少呀 嗯用户名 行 
唉小姐我想知道我的本机服务密码 
呃你好你这是第一个接电话我刚才是不是打电话的一个是你接的 就是那个我们公司那个呃客户对账单移动的客户的账单已经好几个月没有收到了我想问一下是为什么刚才那个女的她接电话说我们公司有不是集团客户但是我们公司你你们扣款是由我们公司的账号扣的不是从个人的账户扣的怎么送公司不是那个集团客户呢 你记一下 
请帮我查一下我手机的密码是多少 重新设置一个是吧 
唉你好我想咨询一下就是说手机实名制的话呃可以委托人家办理吗 现在实名制还要还要本还要拍照 噢噢好的好的谢谢啊 
嗯幺三六零幺七二零九四六 对郭永年 三幺零幺三幺零幺零幺幺九三八零八幺二零四幺八 
唉你好唉我是我这个号码有有一个那个办理一个那个中国有限公司办理一个一个宽带那个好像应该有故障现在正在修能不能发给我就是它需要一个这个账号和密码你这个用发给我吧 
喂唉小姐你好先生是我这边能不能查一下就是呃我刚才拨打的这个电话就是它具体是在哪个是哪个地方吗 如对啊 呃我主叫过的 
啊我现在就是说那个宽带已经停机了对吧 啊 是幺三六三六三四六九零八办的 
谢谢啦 唉你好小姐你能帮我查一下我这个手机是不是我自己本人登记的是不是实名的 呃六安娜 
唉你好那个我家里的那个宽带密码不记得了知道吗 你发到我手机上对不对啊 嗯嗯你你发过来 
喂 帮我查一下我的手机本机号码多少 号码不知道 
您好我有个号码我想核实下 幺三六幺三六 三幺八四 
哎我想问一下就是前面接到一个幺零零八六的电话说什么喂说是工业和信息化我的手机是名字管理虚拟副号去进行实名登记就是专栏吗 所有我有一个和多号吗 我有一个和多号所以他说我的和多号需要实名制登记 
喂你好我想查一下我那个这个手机号码的密码我给 对对对对对 噢行吧 
喂你好那个就是有一个上海的号码能不能帮我验证密码对不对 幺三八幺六六二二七六零 嗯对 
你帮我查一下号码 就是你帮我看一下为什么我这个号码办不了套餐嗯他说有什么限制 就是我更换套餐嘛他是更换不了的呀 
唉你好我现在我这个手机号码这个客服密码我忘记了 
您好很高兴为您服务这个我我那个查询密码忘记了我现在能找到吗 对我大概知道有两个数字但是我不能确定 我现在报给你这个号码你帮我看下下来确认一下是吧 
为您服务刘您好请说 服务密码服务密码这边要自己设置的您身份证号码知道吗 
喂你好唉我想要服务密码因为我现在在在浙江这边我的卡要申请 四六是怎么怎么写 噢就说密码两个g的流量 
唉你好那个我想问一下就是我这个手机号是那个公司办理的然后呢我现在想知道这个就是你们有一个中国移动的ipp那个登陆的密码吗现在它呢需要我是说是输入一个密码但是我不知道这个密码然后打你们这个幺零零八六重置呢我输入这个就是这个证件号码他说输入有误不对所以我想问一下是应该是哪个证件号码 那个我输入这个进去他也提示我说是输入有误 短信回复是吧 
哎你好我想查一下手机号跟名字对的上吗 零幺九 零幺幺三九 
喂你好那幺七七号码开头的是不是电信的还是移动的 电信的 去电信的查询号码是多少 
你好我想请问一下就是我的手机卡是在河北办的然后呢昨天那个手机卡它呃手机被偷了然后手机卡也丢了我想在上海这边办挂失的话就补办一张卡的话他需要那个服务密码我当时去买那个手机号码的时候那个恩嗯嗯不记得他就给我那个服务密码那种 是的 四那个如果我打安徽的幺零零八六还要 
喂你好问一下这个手机号码的姓名是不是在胡利群 幺二幺三二二幺九九幺零九二六二零六三 对接 
唉你好我一个还有一个手机就是说上次卡被锁定了你能不能帮我几天呢 我现在是cm卡锁定 那个吗密码我找到了因为我上网找到了我就是说咱们卡它现在帮我手机不能打电话 
公司那你帮我查一下我店里的宽带帐号密码吧 我没有我是浙江移动啊 我我家的 
你好我想问一下那个就是我这卡本地是外地的吗那我想买上海的这个充值卡他能充进去吗 嗯就是我们我我呢就是我们就是原本这种上海的这种那种充值卡五十元一百的那种一张的这种能通联通联通吗 上面我没看到有这个怎么 
噢是这样的我在那个网上有积分换那个话费然后他最后出来两个孔一个是让我点那个什么短信确认吗那个一点击就会发到手机啊还有一个是什么客服密码那个客服密码到哪里去弄 
哎你好你能查到我现在这张卡上面办了几张副卡吗 嗯嗯你能帮其中有两个号码报给我一下吗 密码我按不知道 
唉你好帮我那个手机号码这边登记一个核对一下 幺三七 六幺四三 
呃您好是这样然后我想让你帮我查一下我宽带的账号密码 对 对 
有 是这样的我那个地址的话那个账单地址现在就是在其吗还是没记啊 
哎你好我想问一下我就是不是积分兑换吧呃积分兑换然后我登陆了然后就是他说客服密码是什么密码了 就是什么密码 噢就是手手机服务呀就是比方说我要呃就是呃办理那种套餐的时候它有一个手机密码对吧 
唉你好我就是想问一下我这个可以查一下我这手机就是当时就是办卡的一个身份证的户名是什么吗 加上你你看一下是叫王元还是叫徐用的使用最高是使用的对吧嗯 如果我要注销的话在电话里面注销是可以的吗还是不可以 
哎你你你好我想问一下就是那个什么卡的什么服务服务服务六位密码还是什么东西 服务密码那我怎么没找到我我有一个卡刚买的 这个卡就就就sim卡卡片已经好了是吧 
噢你好 噢我想查一个手机号码机主的名字 噢对 
你好帮我查一下幺三九幺八幺八五八幺八 嗯对然后姓名是叫姜红波吗 三七幺零二幺幺九七七幺幺幺六七零幺七 
唉先生你好是这样我收到那个账单但是那个我们公司账单然后我不知道这边联系哪里能跟您核对下地址吗 哎对帐单我想核对他我想看下这张账单对应的是哪里的哪里的线我就把账单预存话费如果安装地址多少你帮我核对一下吗 三幺零 
呃我就是服务发完机呢还是怎么可以走的回来 恩好好 
唉喂你好你帮我查一下我手机绑定的这个宽带账号是多少因为昨天我报修的现在那个修人员需要问我要账号我记不得了 啊对对对 噢直接查到他那个账号和密码是吧 
哎你好我想咨询一下那个幺三九邮箱如果就是没有更改过密码的话初始密码是多少怎么设置呢 等等等一下等一下我还有个问题就是嗯电子账单是在你们会发到邮箱吗还是说的幺三九邮箱里面的就电子帐单上比如说呃我这个是主号码有那个家庭绑定成员的那他们的那个电话号码会显示出来吗 有线是费用是包括 
喂你好 啊就是我家里面那个宽带呃帮我看一下因为我那个账号我给搞忘了 恩对 
您好唉你好我那个我想咨询一下我这个宽带的那个用户名跟密码就这个本机号码 噢宽带密码行好谢谢您 
啊我就是不知道我这个手机服务密码是多少你能帮我查一下 哎好的 
好 哎我想查一个一个账号的他说欠费但是我不知道这个帐号是在哪个公司名下 兆上海移动提醒服务什么账号我帐号帐号号码我能报给你行吗 
好噢您好是这样的我想看一下我这个移动号码它现在呃有没有实名制啊噢哪个号码您报一下呃幺三六嗯四幺八五五六五幺那就 有没有实名制啊 兆可心 
您开就是手机号留不了你好喂 哎我想核实个手机号是不是实名登记的 幺三六 
您好帮我查一个手机实名制 幺五八零零 三六七 
喂你好我想跟你确认一下我现在来电的这个本机号码是去实名验证的把名字和身份证号码报给你报修一下好嘛 名字是谁来身份证号码是二二零幺零二一九五一零幺二六零八二四 
麻烦你帮我看下我的宽带账号 幺他本机打过去还是直接手机号码就可以了 你帮我看一下吧幺五八 
喂你好唉请帮我我是用同敏先查询一下我的那个呃有使用这个幺三九幺七二零八八六八的卡号联系 呃我手机卡的邮件 唉对对对对 
很高兴服务小姐是这样的就是我收到一条短信就是我报一个号码是那个嗯幺三八 幺八六九幺八六九四幺零九 幺八六九四幺零九对吧嗯嗯 
唉您好麻烦查两个电话是否实名嗯您请说嗯电话号码是幺五八零零五二三三零九幺五八零零五二三三零九他的名字是吴振清身份证号码三六零四八幺幺九八零零八二八零零幺八 对闵这也不对呀嗯嗯 好的嗯另外有一个幺三五六四九 
服务喂你好 呃我想问一下我那个有一个手机卡呀就是可以小孩子弄那个锁掉了问题对吗 应该puk吧恩 
哎你好我想问一下我那个家里的网络我想登录那个路由器那个是账号然后他需要那个用户名密码那个用户名是哪个用户名 这个我刚才今天那个是宽带有个故障然后我我那个是给你们幺零零八六发的那个kdm然后让让他给我给我发了账号跟密码给我到到时候给我我用那个账户和密码登这个是路由器都不了呀 用户名和密码 
我想问一下我的服务密码是多少 幺零六三 发到幺零零八六短信是吧 
唉喂你好我想问一下我这个我这个就是手机号四十元嗯想咨询一下办了我就是我这个身份证已经办了多少个手机号了都能查出来吗 嗯啊 这边噢那我现在这个套餐就七十八的那个 
喂你好唉帮我 关掉那个分钟通话八条短信幺三六 喂听到吗 
唉小姐我想那个问一下我这个客服密码是多少 身份证号码知道的 不行不行我刚才刚才因为给我转过去了一个日保它就跳的你帮忙把我 
喂你好那个我是你们客户啊这个电话号码是幺三六六幺八零五七零幺 然后我今天我想那个网上这个电话费吗 手机话费是一百几啊然后就只要交一百块钱可以啊 
要把第二个是银行已经出去的你好我想问一下我的那个移动宽带那个密码是多少 我想呃家里那个无线网络 噢好知道了算了算了 
我这个手机号码是不是已经实名认证过了 但是嗯那也就是说我这边实名认证过了对吧没有问题 哦 
您好很高兴服务喂你好 哎我想问一下我有个副号码是不是登记人名下的我忘了那个号码我帮您核对一下记录幺三六七幺八幺哦不是现在不不知道幺三六三八七八 八五七三 
喂请问一下我那个手机密码多少忘记了 
我想那个就问一下这个手机的这个密码是多少 本机对 噢你这是被他们错了不好意思 
唉你好我手机号实名认证一下 您需要核对实名制吗对核核对以后帮您报一下幺三七六幺 幺二八七叫方复机 
唉你好帮我查一下我的那个套餐那个幺三八 幺五九幺五七九 七六幺 
您好很高兴为您服务在闵行区唉小姐你好呃麻烦帮我查一下我们因为我的那个叫什么或者这样子麻烦密码记不住了一一 对 噢那您帮我查一下我的这个wifi是用到什么时间段好吧 
唉你好是哪个号码幺三六 四九幺六 四九零九 
呃帮您看这号码有登记吗幺八七 幺七九幺 九三二六 
行 呃你好我想问一下呃我这个就是这个就接这个电话号码的这个服务密码我忘记了你能给我啊说一下然后是多少吗 呃直接短信然后查询是吧 
你好我想查一下我去年六月份的那个通话记录可以吗 查本机 
您好很高兴为您服务喂你好二零六你给我传好了 我密码忘记了 啊林是 
高兴您服务喂你好有什么可以帮您的我想问一下那个单位单位那个证件号什么是什么证你那个流量吧 对对对 噢这样的是吧 
唉我现在用积分那个购物他现在他让我输入客服密码我不知道我的客服密码是多少 哦证件号公司的身份证 九幺三开头的深圳的手机号码 
这个手机号我登记的身份证不知道是谁的啦因为这个我们家号几个人这个这个号太用太久了不要登记这个名字谁的这个能有帮我查吧 语音方家里面的方向的方 丁聊 
您好很高兴为您服务唉喂你好那我有个问题想问一下啊就是我去那个营业厅拉的那个短信的那个详单嘛 这个这个查得到那个短信发的是什么吗 唉那我再问一下那个这个号码好像网上查的是你们中国移动的那个内容 
喂你好是这样的我原来有张移动卡您帮我查一下就是因为好长时间没用了帮我这个号码是多少 呃幺五零零二幺零一 五幺零四 
一百二十九零喂你好 我的现在唉你好就是我想问一下号停机了号码可以查吗号码我们查不了 停机了打幺零零八六吗 
你好喂你好哎嗯嗯我那个密码什么出初始密码充值这么多 啊对的 噢对 
哎你好我想问一下你们上海这边就是装移动宽带他的密码是多少啊 不是拨号上网就是正常的这个账号然后下面是密码啦再见 不会吧噢那那这个还是以前那现在河北再再发我一个呀因为现在我忘记了因为 
恩你好我想问一下我的手机那个服务密码是多少 啊幺幺零六三是吧恩对的 没没有谢谢啊 
嗯嗯喂你好嗯您好请说我想问一下我已经一个手机号码不用了干吗没注销它会不会欠费啊 你能不能帮我查一下 嗯 
您好很高兴服务唉我我问一下我有个手机号码幺三六二二幺八八嗯零我这个是后付费的还是县付费的 四三零七 密码到 
恩你好我想问一下我的手机那个服务密码是多少 啊幺幺零六三是吧恩对的 没没有谢谢啊 
呀 喂 我那个基本上他那边对给我那个积分密码忘记了怎么办 
呀 喂 我那个基本上他那边对给我那个积分密码忘记了怎么办 
你好手机号幺三七 六幺零四 二九二五幺 
唉你好麻烦你帮我客服一下幺三五二四三四八二八六这手机号是不是一起的拜拜身份证 密码不知道 身份证三四二五二九幺九八四零四幺六五零三六 
很高兴为您服务 恩幺六四四恩六零八零 呃李广庆嗯嗯然后四幺零六零三恩一九九四零八零幺零零三四 
嗯而且这张卡主要功能要开通什么你好 帮我看一下这个卡的实名登记的户名叫征信呢 三幺零二二五一九九七零幺幺二零零幺六 
恩你好我想问一下我的手机那个服务密码是多少 啊幺幺零六三是吧恩对的 没没有谢谢啊 
喂你好我想问一下我这个卡是四g的 等一下唉对的你帮我看一下 哎那为什么我他的手机上面显示是爱心呢 
喂你好你帮我查一下我的手机号密码忘了你帮我查询密码 通过证件审核之后 
喂你好我想问我想咨询一下啊我的号码如果别人需要的话他怎么可以查下我的号码 可以听见我的号是 号我这个是嗯那比如说我在这边我不打电话吗我这边是做什么事说什么话 
哎你好我想问一下就是我这个手机号的服务密码是多少多少 我自己设置说 好的好的好的 
喂你好我问一下这个号号码是不是幺八七的 呃我问一下这个号码又开通了怎么弄 呃五十八块钱一个月 
唉你好那个我想查一下一个呃我女儿那个手机号码的实名制是我的名字还是她的名字 请问手机号码多少幺三九 幺八八 
喂你好我我是想问一下我这个卡是什么类型的就是那个动感地带还是什么神州行的 一百二十八吧 一百一十八 
内容呢 我想知道那个什么查询密码 
你好我这个手机号码多少 
我那个服务密码忘了帮我查一下 噢 
喂那个我想查一下我手机我那个然后要怎么开通啊 你发给我 兆 
唉你好我这个那个已经用上的什么服务密码是不是我这个手机的那个营业执照 因为服务密码因为第一次办的时候我呃重新丢卡我办了几次卡了然后那个营业厅补功能六位密码我忘记了 我手机号的服务密码对 
嗯姓名叫什美丽取消的时梅花的美丽的丽身份证号是三幺零幺幺零幺九七五幺二二六六嗯对吗 没有了 
我那个服务密码忘了帮我查一下 噢 
哎我想我想问一下我这个手机密码是多少 按四号键 噢按一下四号键是吧 
嗯是这样的呃我想查一下呃我账单的邮寄地址现在是哪里呀因为我搬家了我不记得我也没有改过 我给你身份证号码 三幺零幺零八再见 
哎你好我想让你帮我查一下查询一下我另外一个电话密码的另外一个电话费你们这个呃使用情况 嗯幺五八 零零九七 
哎你好我想问一下我这边想用用积分兑换那个话费嘛它提示我要什么客服密码我想问一下我的客服密码是多少 那你这能直接帮我查吧如果需要提供什么信息我这边提供过来吗 可以 
你好唉我就是这个幺三六四幺八九七零五幺的手机吗喂唉我到这个手机我家里办了一个宽带他到我现在这个呃我的用户名就是我这个手机吗我的密码是什么我忘记了 呃我无线网坏了我现在是想户号上网拨号上网我不需要设置吗 呃 
呃你好我想请问一下我这个手机要换那个积分兑换然后它有那个客户密码那个是怎么弄呢 不是玩换手机为七万多少 等一下你说幺零零八六 
喂你好我想问一下你们的服务密码错误吗 
唉你好 已经我用这个手机号码申请了一个宽带嘛 然后我有一个路由器路由器要重新设置一下因为之前坏了但是我不知道那个上网aps幺的上网扣了你你能告诉我一下吗 
喂你好我这个本机有收到两次款嗯他这个意思就是说呃我那个信息不完整什么需要超出就像实名登记啊 噢呃上次那我这个是以前换过卡还重新换过卡唉 这个信息 
哎你好我想查询一下一个号码登陆人使用是不是我们公司因为员工因为我们这边是帮他办信用卡需要查询一下 幺三八 幺六五四 
噢 唉你好 我这个宽带密码忘了怎么办 
你好我想查一个手机号的实名制登记情况 幺八七幺七九五四三九零 幺七九五 
呃您好这样子我这个手机号码呃我现在银行银行说我这个手机号码不是实名制但我就是这个我自己的这个名字的所以我想要一个证明所以我想问一下就是你们可不可以呃中国移动给我发一个邮件邮件然后证明就是我的名字就是这个手机号码 就名字手机号都有的是吗因为我现在的手机号码是我先生给我付的就是挂靠在我现在那个手机号上呢 啊对啊所以我就想问一下就是我给你个邮箱地址然后你吧我的名字跟呃那个手机号码就给我发一个邮件过来行吗 
唉你好你好我这个号码停机了是吧我不知道这个卡是我哪个卡了就是我不知道这个卡的号码是多少你能不能帮我看下先生您来电的这个号码吗对啊 噢不是噢这显示是幺五二 
唉你好能不能帮我查一下就是就是我另外一个手机号码然后我我来按就好了然后我我看这服务密码对不对这样子 幺五零零幺八八 六六六三 
你好我想我想跟你说一下 
那个那个你好那个手机服务号怎么打 的 八幺零六三 
那个 唉先生你好嗯我刚刚接到一个电话他们我的幺幺零他说我我名下有两部手机然后一部手机发了很多什么违规的短信你帮我查一下我名下有多少几部手机啊号码 它对我刚刚接到一个电话他说我明这两部手机号码然后一个号码报发了很多违规的短信身份证呗怎么拉黑了呃没有然后我想咨询一下我名下是两部手机号码是不是两个 
对啊喂你好呃我想问我想你帮我开通一下国际漫游 到日本 因为我明明二十五号去日本要打卡号回来 
嗯零零五五嗯 
您好很高兴服务哎你好我想那个核对一下这个手机号码办理的那个对应的人 那个耿兰 呃泰隆胡 
你好我想查一下来 对对对 呃是叫那个马线嘛然后是三三零九零二幺九九零零五零四零零幺 
您好我这边记得我的宽带账号但是我的密码忘记了能帮我查一下吗应该是原始密码没有做更改的 对的 呃不是wifi了是几次宽带了因为他这边就是 
唉你好麻烦你帮我查一下这个我这个手机号是我的名字吗实名制的吗 我这本地市公司啦 用流量是公司的个人的你好 
哎你好我想查一下实名验证幺三八 幺七二 九八三嗯嗯 
哎你好我想问一下我现在这个卡是属于公司卡还是属于个人的个人呢哎好谢谢恩不客气 
你帮我查一个座机号码我不知道他是移动的还是联通的 二零二幺一 对对对我 
服务帮我查一下那个我幺三九邮箱的密码 是这个啊因为我发生就是发送什么短信安排没井号键那个发送那个安装电话密码吗发生了什么幺零二零尾号的那个怎么没有不要一直免费 没有没有我一直一直不回来了一直没有可以发到幺零六五八幺什么幺零零 
你好你帮我查一下这个幺八二零的号码 幺八二零幺九五九幺九五 比较看过洋 
哎哎你好我想知道一下我这个手机号码的服务密码吧 不是噢那新的号码我说是不是 就是服务密码对吧 
唉你好你帮我查一下我这边那个宽带是这个那个当时约安装那个信息吧 幺三九零幺八五八九九零 阅彤二四幺幺二明天退掉零幺零零幺零八幺三五七零二幺三 
二二七 手机密码知 
嗯 喂你好他那个手机密码你你帮我你聊解一下吗 噢就是我那个手机手机密码零六嗯 
呃我想问一下我我不是能登到你们那个营业营业厅官网吗网上然后就能查我的那个短信电话是详单吗 然后那个东西您那个能删除掉吧 那这个不是侵犯我的隐私吗 
喂 呃喂你好我就是想问一下就是这个查话费清单什么退的 呃就是话费清单是不是就是不是有一个那个上海呃那个 
唉你好 公司集团看一下有哪些号码 呃对我你们这里办理一个就是集团大账单然后账单下面的号都是公司付款的我给您那个开通好 
您好请讲就是第二次零的那个开通的这个手机号码是不是上海移动的 喂 对幺七零的 
唉你好 哎我想用积分来购物啊呃这个有疑问我一个客服密码我想问一下 就是多 
